"Calu3_mock3" "Calu3_mock2" "Calu3_mock1" "Calu3_SARSCoV2_3" "Calu3_SARSCoV2_2" "Calu3_SARSCoV2_1" "SRR1942929" "SRR1942934" "SRR1942956" "SRR1942957" "SRR1942960" "SRR1942961" "SRR1942989" "SRR1942990"
"ENSG00000125844.16" 574 940 2077 1266 696 1473 2639 2794 1016 996 2461 1954 547 548
"ENSG00000125845.7" 58 125 291 636 359 650 276 284 424 427 251 201 456 471
"ENSG00000125846.15" 18 77 159 104 46 85 138 182 156 130 136 98 136 115
"ENSG00000125848.10" 110 135 442 412 237 429 277 326 1118 1113 255 193 749 751
"ENSG00000125850.11" 57 65 156 70 38 89 129 145 54 55 111 84 35 45
"ENSG00000125851.10" 0 0 2 0 0 0 0 2 1 0 0 1 1 0
"ENSG00000125861.14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000125863.20" 195 417 781 554 251 442 990 1190 287 263 846 615 574 605
"ENSG00000125864.14" 9 19 41 18 10 18 33 52 7 15 27 18 10 10
"ENSG00000125868.16" 1560 2055 4552 1875 1205 1708 5342 7027 1579 1478 4976 3905 709 778
"ENSG00000125869.10" 1 2 4 1 0 1 5 9 4 4 4 6 2 1
"ENSG00000125870.11" 245 338 721 396 273 353 935 1275 269 276 939 731 180 203
"ENSG00000125871.14" 103 200 412 257 131 251 456 674 152 159 503 362 163 153
"ENSG00000125872.8" 25 39 175 33 19 47 26 44 18 17 28 35 8 5
"ENSG00000125875.14" 161 307 774 464 240 498 865 1120 448 463 834 688 411 463
"ENSG00000125877.13" 234 541 1000 335 166 323 784 862 233 200 766 610 181 188
"ENSG00000125878.6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000125879.4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000125885.13" 223 298 862 318 168 281 1490 1866 392 421 1466 984 449 478
"ENSG00000125888.14" 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"ENSG00000125895.5" 5 12 12 6 6 9 5 7 0 0 10 6 0 0
"ENSG00000125898.13" 108 275 512 158 96 233 246 211 112 91 223 150 44 48
"ENSG00000125899.8" 0 3 1 5 0 3 1 5 1 2 3 5 4 8
"ENSG00000125900.13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000125901.6" 234 682 1066 246 151 349 634 656 148 147 605 424 111 143
"ENSG00000125903.4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000125910.6" 0 4 4 1 7 4 3 0 0 1 2 2 1 0
"ENSG00000125912.11" 892 1981 4118 770 422 1001 2791 2373 884 873 2354 1791 649 680
"ENSG00000125931.11" 2 0 3 1 0 0 0 0 0 0 0 0 2 0
"ENSG00000125944.20" 1236 1727 4296 2023 1058 1721 6410 8268 1672 1527 6055 4758 1097 1179
"ENSG00000125945.15" 98 75 279 377 188 365 221 329 680 620 226 160 613 658
"ENSG00000125952.20" 306 521 1138 643 353 576 1307 1565 489 466 1343 1009 707 698
"ENSG00000125954.12" 7 0 0 8 0 0 36 25 10 25 17 30 4 10
"ENSG00000125962.14" 169 231 624 405 190 381 988 1227 443 459 917 721 874 856
"ENSG00000125965.9" 0 2 3 1 4 2 4 17 4 6 9 7 5 2
"ENSG00000125966.10" 166 288 739 798 292 723 1381 1410 624 599 1308 1102 600 636
"ENSG00000125967.16" 186 408 766 331 157 316 820 772 252 240 714 541 115 181
"ENSG00000125968.9" 1847 4256 7824 777 667 1287 6347 6143 1686 1685 5884 4292 417 491
"ENSG00000125970.12" 3653 8419 16670 5600 3236 6955 11472 11579 3014 2777 10230 7925 2673 3083
"ENSG00000125971.16" 1585 3084 6140 3847 1901 3876 2864 3473 693 731 2720 2285 441 464
"ENSG00000125975.13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000125977.7" 3138 4933 9596 7023 4219 6520 12492 16197 3105 2844 11980 9145 3663 3784
"ENSG00000125991.19" 2452 5421 11309 4714 2373 5205 8814 10522 3368 3221 7804 6351 1220 1393
"ENSG00000125995.16" 982 2969 5115 1243 626 1442 2029 1748 380 309 1833 1329 235 288
"ENSG00000125997.5" 0 0 0 0 0 0 0 0 0 0 2 0 0 2
"ENSG00000125998.8" 0 1 0 3 0 0 0 1 0 0 2 2 11 15
"ENSG00000125999.11" 24 72 131 105 45 119 119 138 18 9 102 102 11 15
"ENSG00000126001.16" 419 769 1753 717 443 789 2840 3295 1038 1064 2589 2160 1132 1309
"ENSG00000126003.7" 294 440 1230 779 401 742 1315 1736 877 990 1139 986 1031 1214
"ENSG00000126005.17" 542 1262 2270 930 522 1084 1636 1619 388 445 1518 1150 302 352
"ENSG00000126010.6" 3 4 6 5 1 1 11 34 12 7 25 17 38 27
"ENSG00000126012.11" 688 1270 3465 1652 803 1694 3759 4107 1619 1550 3401 2779 2349 2627
"ENSG00000126016.15" 132 149 471 191 106 189 532 705 253 253 549 459 201 212
"ENSG00000126062.4" 360 691 1456 538 295 599 1023 945 325 301 914 655 242 264
"ENSG00000126067.12" 2375 4789 9933 4095 2098 4039 6215 7961 1767 1679 5981 4683 1150 1271
"ENSG00000126070.20" 111 203 587 353 203 318 999 1266 863 805 976 775 585 632
"ENSG00000126088.14" 370 706 1463 376 161 380 1302 1425 318 295 1137 961 219 243
"ENSG00000126091.20" 49 139 211 111 73 135 230 253 108 111 217 165 83 100
"ENSG00000126106.14" 126 269 568 168 69 173 277 304 79 76 208 187 38 37
"ENSG00000126107.15" 123 267 690 262 148 308 703 795 226 271 658 522 210 201
"ENSG00000126214.21" 192 464 929 542 314 609 2479 2945 1127 1246 2215 1613 777 869
"ENSG00000126215.14" 177 483 1041 364 145 288 1138 1109 336 304 1064 786 392 430
"ENSG00000126216.15" 69 111 316 163 70 150 494 644 174 168 493 389 198 205
"ENSG00000126217.21" 45 63 185 79 38 116 321 276 119 83 331 225 47 55
"ENSG00000126218.12" 0 0 1 0 0 2 0 1 2 1 0 0 2 3
"ENSG00000126226.22" 102 192 408 202 122 218 697 834 230 254 636 477 329 345
"ENSG00000126231.14" 0 0 0 0 0 0 5 6 5 6 4 8 7 7
"ENSG00000126233.2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000126243.9" 107 283 570 226 142 328 308 330 115 102 312 211 24 36
"ENSG00000126246.10" 79 247 469 81 55 115 131 133 28 22 116 81 12 17
"ENSG00000126247.11" 3126 6544 13505 3538 1939 4151 12024 13824 3058 3087 10901 8584 1898 1957
"ENSG00000126249.8" 124 200 445 228 141 238 501 527 212 168 423 320 167 173
"ENSG00000126251.6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000126254.12" 1081 2616 4834 1480 790 1952 3033 2673 875 842 2662 1903 655 748
"ENSG00000126259.19" 1 5 13 28 8 14 5 4 2 9 3 0 0 1
"ENSG00000126261.13" 1329 1817 4916 3135 1879 2915 8613 11213 4670 4301 8150 6213 3434 3540
"ENSG00000126262.4" 3 5 1 17 13 26 1 3 4 1 4 2 4 2
"ENSG00000126264.10" 0 1 6 2 0 0 3 1 0 1 1 0 0 0
"ENSG00000126266.3" 1 0 0 2 0 3 0 1 2 0 1 0 4 8
"ENSG00000126267.11" 2190 4514 8644 3273 1636 3474 5622 6939 1307 1250 5037 4050 775 820
"ENSG00000126337.13" 0 0 1 0 0 1 2 1 0 0 3 1 0 0
"ENSG00000126351.12" 2355 4311 11005 2650 1445 3237 6200 6837 1848 1928 5601 4498 778 823
"ENSG00000126353.3" 1 0 3 1 1 2 1 2 2 2 0 1 15 21
"ENSG00000126368.6" 172 371 847 2139 1230 2693 923 917 6067 7045 893 586 3600 4126
"ENSG00000126391.14" 380 824 1626 895 416 934 1741 1727 580 543 1637 1184 219 272
"ENSG00000126432.14" 2010 4883 9184 3429 1904 3898 4613 4933 1390 1283 4251 3387 960 1023
"ENSG00000126453.9" 337 906 1745 314 149 396 1226 1095 306 303 1061 845 239 241
"ENSG00000126456.16" 690 1771 3532 1535 794 1775 3029 2867 964 898 2728 2071 676 775
"ENSG00000126457.21" 2225 4964 10281 3011 1299 3189 11267 11152 3387 3000 10120 7577 3532 3732
"ENSG00000126458.4" 787 1827 3700 1774 1052 2194 2339 2083 510 543 2020 1580 439 483
"ENSG00000126460.11" 117 347 610 223 129 228 417 447 123 108 383 259 59 68
"ENSG00000126461.15" 983 2060 3967 1644 867 1968 2669 2211 879 902 2227 1676 1077 1321
"ENSG00000126464.14" 261 583 1274 582 326 744 1196 1031 669 664 1125 791 342 521
"ENSG00000126467.11" 0 0 0 0 0 1 1 0 0 0 1 0 0 0
"ENSG00000126500.3" 0 0 0 16 5 14 17 14 8 7 12 2 5 8
"ENSG00000126522.17" 478 995 1990 697 380 752 2260 2061 556 608 1887 1476 372 367
"ENSG00000126524.10" 657 960 2265 1596 842 1424 2973 3789 1143 1034 2909 2189 1194 1194
"ENSG00000126545.14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000126549.10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000126550.9" 0 1 1 2 0 5 12 12 5 7 19 7 5 12
"ENSG00000126561.16" 28 44 74 177 84 189 54 52 50 37 33 35 27 26
"ENSG00000126562.17" 2 7 28 11 5 21 26 25 27 37 21 23 67 84
"ENSG00000126581.13" 1031 1562 3797 1868 1068 1900 3951 4945 1500 1464 3734 2878 1410 1536
"ENSG00000126583.11" 165 397 749 370 206 385 1824 1850 546 600 1803 1345 217 244
"ENSG00000126602.11" 1803 3797 8088 2808 1362 2889 7979 8387 1755 1709 7113 5360 1778 1983
"ENSG00000126603.8" 179 392 766 600 296 634 611 490 359 384 532 388 239 262
"ENSG00000126653.18" 171 233 590 479 280 426 983 1340 516 493 1013 787 632 631
"ENSG00000126698.11" 736 1282 2556 1231 657 1161 2801 3545 679 616 2556 1942 736 805
"ENSG00000126705.15" 143 333 738 406 216 468 585 501 328 350 528 396 142 201
"ENSG00000126709.15" 1477 3874 7856 8820 4432 10199 646 760 2459 2232 649 474 402 345
"ENSG00000126733.21" 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"ENSG00000126746.17" 274 475 1210 688 339 802 1616 1906 928 974 1485 1210 904 941
"ENSG00000126749.16" 395 934 1893 1139 499 1036 2177 2816 631 582 2017 1567 654 587
"ENSG00000126752.7" 0 0 0 0 0 0 0 1 0 1 0 0 0 0
"ENSG00000126756.12" 440 1079 2076 700 370 846 1473 1847 446 406 1390 1109 261 295
"ENSG00000126759.13" 2 2 7 6 2 3 15 18 10 14 9 13 5 8
"ENSG00000126767.18" 373 608 1622 818 425 820 1890 1908 767 784 1591 1286 505 615
"ENSG00000126768.12" 373 919 2015 864 446 975 1569 1574 531 430 1460 1079 296 280
"ENSG00000126773.13" 286 324 921 619 326 530 1933 2614 981 942 1882 1402 779 844
"ENSG00000126775.9" 60 110 311 166 131 201 617 751 373 358 544 460 169 199
"ENSG00000126777.18" 1781 2151 5615 3127 1997 2775 10741 13649 4323 4017 10217 7786 4527 4903
"ENSG00000126778.12" 29 46 133 130 79 110 82 103 84 78 78 64 45 44
"ENSG00000126785.13" 3 4 19 4 0 9 16 19 5 4 10 11 1 1
"ENSG00000126787.13" 658 729 2007 349 237 318 3514 4804 692 681 3422 2632 503 509
"ENSG00000126790.12" 86 114 292 127 64 149 256 307 81 78 223 176 102 109
"ENSG00000126803.9" 133 171 307 118 58 117 342 384 84 120 322 211 75 83
"ENSG00000126804.13" 169 194 497 458 256 403 1045 1331 646 645 1033 702 583 632
"ENSG00000126814.7" 178 280 539 477 266 421 1163 1449 625 610 1113 806 648 639
"ENSG00000126821.8" 239 204 871 374 260 370 1770 2131 657 638 1616 1234 588 537
"ENSG00000126822.17" 248 497 1133 872 415 1019 1425 1414 1930 2030 1265 965 2297 2515
"ENSG00000126838.10" 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"ENSG00000126856.14" 2 3 5 4 1 8 9 14 6 2 7 8 15 8
"ENSG00000126858.18" 211 268 771 578 310 539 1016 1317 623 581 963 748 369 443
"ENSG00000126860.11" 0 0 0 0 0 0 9 12 4 12 7 5 6 0
"ENSG00000126861.5" 0 0 0 0 0 0 5 12 6 3 6 8 6 10
"ENSG00000126870.16" 79 135 333 139 68 160 683 869 461 428 604 477 233 234
"ENSG00000126878.13" 470 818 1911 329 169 376 1109 1336 184 158 1031 800 169 189
"ENSG00000126882.13" 8 2 11 7 3 4 13 9 9 7 5 6 4 6
"ENSG00000126883.17" 367 573 1534 717 379 766 1771 2204 955 1085 1597 1293 1137 1207
"ENSG00000126890.13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000126895.15" 0 0 1 0 0 1 2 2 0 0 3 0 1 0
"ENSG00000126903.16" 306 599 1480 484 298 586 1256 1225 398 385 1135 831 269 310
"ENSG00000126934.13" 622 1455 2819 1034 632 1238 2095 2006 658 717 1841 1433 490 614
"ENSG00000126945.9" 818 1083 3351 1194 628 1145 4481 5649 994 938 4125 3171 900 897
"ENSG00000126947.13" 29 28 68 51 33 32 66 88 22 28 65 62 56 48
"ENSG00000126950.8" 0 0 2 1 0 1 2 0 0 0 0 1 0 1
"ENSG00000126952.17" 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"ENSG00000126953.8" 113 235 478 204 109 241 662 833 237 230 597 463 211 185
"ENSG00000126970.16" 91 174 439 147 85 136 629 746 157 133 554 402 61 64
"ENSG00000127022.15" 11431 14829 41702 14740 8495 13653 61086 78397 18415 17476 58448 44552 16669 17745
"ENSG00000127054.20" 454 1078 2110 780 399 944 2335 2348 848 847 2105 1610 600 683
"ENSG00000127074.14" 0 0 0 0 0 0 0 1 0 1 1 0 2 0
"ENSG00000127080.10" 93 178 375 272 134 258 565 738 666 680 541 466 512 561
"ENSG00000127081.14" 30 32 91 113 70 106 150 227 245 310 164 121 224 211
"ENSG00000127083.7" 3 4 3 2 0 1 14 21 4 2 21 21 0 2
"ENSG00000127084.19" 29 59 109 83 31 61 93 82 58 58 90 64 44 63
"ENSG00000127124.16" 81 96 308 187 112 188 369 464 163 204 365 251 278 312
"ENSG00000127125.9" 535 897 1908 835 573 869 1616 1995 399 387 1472 1183 433 431
"ENSG00000127129.10" 6 12 39 184 104 204 31 35 11 20 43 26 42 45
"ENSG00000127152.18" 10 7 6 2 5 3 7 17 13 5 15 8 6 3
"ENSG00000127184.13" 3482 6797 13230 5208 3224 5264 13290 16911 2699 2427 12580 9571 1384 1466
"ENSG00000127191.18" 233 618 1206 919 450 941 884 852 558 561 815 567 631 765
"ENSG00000127220.6" 95 195 424 128 80 197 230 205 75 61 226 132 37 37
"ENSG00000127241.16" 1 13 18 12 0 18 10 11 4 2 13 10 3 6
"ENSG00000127249.15" 74 135 379 299 192 328 385 518 721 723 398 306 112 118
"ENSG00000127252.7" 52 79 169 46 33 63 116 142 42 27 102 62 49 42
"ENSG00000127311.9" 60 77 259 257 166 286 307 420 316 318 279 219 136 162
"ENSG00000127314.18" 1503 1751 4907 3411 2016 2818 6636 9078 2390 2367 6507 5087 2399 2548
"ENSG00000127318.11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000127324.9" 1751 2704 6469 1604 1058 1625 11657 15136 1585 1486 11116 8444 1553 1608
"ENSG00000127325.19" 13 11 22 55 22 58 37 63 99 60 45 46 71 63
"ENSG00000127328.21" 521 790 1872 1319 772 1164 2756 3502 1620 1522 2672 1988 998 1158
"ENSG00000127329.15" 323 409 1242 414 243 413 8292 10829 2893 2780 7820 6274 2261 2466
"ENSG00000127334.10" 371 500 1496 1016 592 963 3280 4254 2060 2012 2988 2448 1600 1697
"ENSG00000127337.7" 260 347 918 642 422 518 1583 2044 476 427 1525 1106 277 285
"ENSG00000127362.2" 0 0 0 0 0 0 0 5 2 3 4 8 5 6
"ENSG00000127364.3" 5 4 10 4 11 11 37 61 20 16 39 39 26 35
"ENSG00000127366.5" 0 1 9 6 1 7 15 23 14 15 13 10 26 21
"ENSG00000127377.9" 0 1 1 0 0 0 0 1 0 1 1 2 2 0
"ENSG00000127399.15" 206 482 949 307 144 389 632 614 254 192 551 415 152 167
"ENSG00000127412.7" 2 3 0 0 0 0 0 2 2 0 1 0 5 4
"ENSG00000127415.13" 52 118 225 73 46 84 139 108 73 72 137 85 13 17
"ENSG00000127418.15" 396 720 1788 734 385 887 1665 1672 505 528 1499 1215 284 313
"ENSG00000127419.17" 80 218 396 109 56 155 331 316 141 136 299 223 76 99
"ENSG00000127423.10" 81 131 294 128 55 123 238 333 118 109 247 181 89 90
"ENSG00000127445.13" 468 1117 1968 466 200 524 1186 1102 297 242 1020 794 302 359
"ENSG00000127452.9" 117 218 489 245 141 282 452 475 295 346 416 318 253 231
"ENSG00000127463.15" 638 1161 3179 1102 588 1194 3559 4393 1148 1153 3275 2730 971 1146
"ENSG00000127472.11" 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000127481.15" 1185 1760 5479 4031 1902 4370 9879 12313 6893 7632 8884 7386 5612 6256
"ENSG00000127483.19" 718 1000 2768 1286 681 1201 6022 7874 1588 1676 5783 4690 1314 1353
"ENSG00000127507.18" 1 1 7 5 4 11 16 22 5 8 28 12 1 7
"ENSG00000127511.9" 164 405 956 593 243 667 1161 1301 738 781 1106 839 514 608
"ENSG00000127515.2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000127526.15" 380 703 1666 798 514 922 1895 2197 843 784 1749 1518 557 591
"ENSG00000127527.14" 143 283 594 357 205 333 599 728 311 292 561 437 364 350
"ENSG00000127528.5" 29 59 113 93 66 174 69 47 22 30 52 37 14 15
"ENSG00000127529.7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000127530.4" 2 3 7 5 10 14 40 52 14 25 36 32 20 22
"ENSG00000127533.4" 0 0 1 1 0 1 0 5 1 2 2 0 0 0
"ENSG00000127540.12" 1023 2725 4224 1032 615 1119 1860 1971 404 354 1772 1347 349 356
"ENSG00000127554.13" 351 728 1551 572 356 675 837 819 288 261 735 591 363 410
"ENSG00000127561.15" 27 50 103 126 84 167 64 76 35 49 66 51 25 40
"ENSG00000127564.17" 603 1494 2636 914 475 1094 1887 1656 554 541 1581 1175 319 385
"ENSG00000127578.7" 5 11 23 15 11 19 25 24 12 20 22 8 16 17
"ENSG00000127580.17" 137 341 595 329 204 445 466 379 219 249 369 275 224 221
"ENSG00000127585.12" 18 36 103 47 33 71 69 83 6 9 67 45 5 4
"ENSG00000127586.17" 404 1317 2370 521 285 612 2838 2321 827 768 2446 1779 435 514
"ENSG00000127588.5" 0 0 0 0 0 0 5 1 0 1 4 2 1 1
"ENSG00000127589.4" 3 0 2 0 2 2 4 5 2 2 6 1 0 0
"ENSG00000127603.28" 3007 4481 13717 10850 6042 10138 47157 61152 23092 23464 43787 35840 12291 13888
"ENSG00000127616.18" 671 1335 3267 1318 680 1391 4316 4272 1700 1710 3734 2916 1654 1965
"ENSG00000127663.15" 160 270 701 291 173 346 622 695 217 272 561 479 177 209
"ENSG00000127666.9" 125 235 613 799 386 943 411 339 438 478 401 290 301 388
"ENSG00000127720.8" 15 35 89 37 29 32 111 133 46 36 122 90 32 29
"ENSG00000127743.6" 0 0 1 0 0 1 1 2 1 0 2 0 1 0
"ENSG00000127774.7" 225 533 1019 304 154 340 616 622 136 163 530 381 106 114
"ENSG00000127780.3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000127804.13" 137 259 678 263 136 280 893 1059 424 467 815 659 375 420
"ENSG00000127824.14" 1662 3707 7446 2183 1065 2306 5480 6024 1358 1245 4783 3907 1186 1259
"ENSG00000127831.11" 192 350 823 153 88 151 154 196 44 38 127 106 13 14
"ENSG00000127837.9" 1398 2788 6128 2299 1211 2495 4371 4965 1057 1014 3990 3070 754 806
"ENSG00000127838.14" 386 850 1852 664 370 759 1125 1234 344 334 1071 821 222 219
"ENSG00000127863.15" 272 358 1046 464 258 432 1848 2461 587 547 1794 1401 408 418
"ENSG00000127870.17" 230 210 890 618 358 578 1374 1808 900 808 1383 980 1115 1129
"ENSG00000127884.5" 729 1548 2618 852 507 923 2156 2596 488 497 1992 1620 325 335
"ENSG00000127903.14" 7 0 4 6 2 6 8 17 7 4 9 7 4 6
"ENSG00000127914.16" 164 236 592 498 302 425 2237 3141 1631 1638 2263 1742 1244 1231
"ENSG00000127920.6" 100 193 356 132 83 145 215 325 47 49 230 215 51 34
"ENSG00000127922.9" 834 1927 3618 1500 768 1440 2621 3396 666 584 2464 1899 419 448
"ENSG00000127928.13" 1 0 0 0 1 0 0 2 0 1 0 1 0 1
"ENSG00000127946.17" 178 257 839 376 200 329 1630 1973 531 503 1522 1222 297 320
"ENSG00000127947.16" 313 368 1161 1412 833 1147 3114 4045 1310 1262 2914 2278 1036 1108
"ENSG00000127948.16" 438 981 1858 633 298 714 1871 1742 737 649 1607 1195 352 409
"ENSG00000127951.7" 2 1 3 1 1 3 7 11 0 1 8 9 0 0
"ENSG00000127952.17" 254 544 1017 554 275 538 1087 1424 322 307 1049 807 330 346
"ENSG00000127954.12" 85 134 364 266 166 259 344 447 100 104 324 293 54 44
"ENSG00000127955.17" 166 198 500 493 250 450 938 1104 554 501 895 678 382 406
"ENSG00000127957.18" 11 18 74 15 12 19 82 81 38 44 69 43 20 32
"ENSG00000127980.16" 121 91 361 211 76 192 914 1142 284 285 866 663 259 257
"ENSG00000127989.14" 84 129 275 190 111 182 627 819 270 251 596 441 309 296
"ENSG00000127990.19" 249 447 996 557 324 583 1093 1346 364 344 1054 839 436 442
"ENSG00000127993.16" 39 59 155 147 72 144 280 387 159 157 313 227 190 174
"ENSG00000127995.17" 56 55 167 153 65 106 617 812 218 234 559 405 273 280
"ENSG00000128000.16" 71 94 292 159 98 138 771 1061 357 366 742 587 187 178
"ENSG00000128011.4" 70 150 257 100 58 164 256 197 88 104 216 159 23 32
"ENSG00000128016.7" 191 411 894 3110 1938 3974 1019 1014 2178 2309 908 743 1655 1801
"ENSG00000128039.11" 407 692 1425 869 561 1002 676 891 193 203 693 540 112 138
"ENSG00000128040.11" 0 2 9 3 0 2 2 4 1 0 2 1 0 0
"ENSG00000128045.7" 8 11 22 6 0 12 23 22 8 9 11 18 2 4
"ENSG00000128050.8" 2014 3195 7558 2468 1357 2392 10088 13233 2373 2251 9568 7457 1169 1211
"ENSG00000128052.10" 0 0 6 0 5 2 0 2 1 2 0 1 0 1
"ENSG00000128059.8" 244 307 975 434 201 341 1808 2337 752 717 1635 1305 497 546
"ENSG00000128159.12" 255 466 1257 475 219 594 2636 2421 1080 1159 2309 1810 546 619
"ENSG00000128165.9" 87 200 334 757 372 896 286 282 92 93 250 200 43 59
"ENSG00000128185.10" 539 1075 2118 439 281 594 1195 1068 310 244 1057 767 238 292
"ENSG00000128191.16" 293 549 1366 443 279 471 1931 2284 821 818 1770 1417 677 726
"ENSG00000128203.7" 7 17 37 62 24 65 77 77 59 60 60 47 30 45
"ENSG00000128218.8" 4 4 5 3 2 0 1 7 4 1 1 1 6 7
"ENSG00000128228.5" 582 1553 2513 321 208 528 1157 920 254 247 1031 713 234 278
"ENSG00000128242.13" 70 259 521 129 90 160 107 86 27 28 100 54 14 21
"ENSG00000128245.15" 2022 3532 7527 3243 1783 3357 7884 9747 2153 2096 7132 5655 1896 2027
"ENSG00000128250.5" 0 1 2 11 4 4 0 0 0 1 0 0 2 0
"ENSG00000128253.15" 0 13 14 6 1 9 3 4 8 11 4 6 55 70
"ENSG00000128254.15" 2 2 0 4 2 5 8 11 7 0 13 6 7 7
"ENSG00000128262.8" 0 0 0 0 0 0 4 7 4 1 4 1 1 2
"ENSG00000128266.9" 68 118 225 84 40 97 470 560 52 47 465 384 34 55
"ENSG00000128268.12" 605 1155 3152 1787 938 2007 1586 1755 287 318 1542 1140 100 134
"ENSG00000128271.22" 1 26 55 88 44 87 30 16 2 7 15 1 5 28
"ENSG00000128272.14" 2117 4231 8916 10250 5094 10789 11827 14327 3582 3283 11114 8544 4605 4642
"ENSG00000128274.17" 85 202 465 333 168 357 188 160 73 87 155 122 9 15
"ENSG00000128276.10" 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"ENSG00000128283.7" 1060 2602 5166 3142 1647 3816 5605 4601 1941 1894 4921 3684 1577 1850
"ENSG00000128284.19" 16 66 109 466 215 441 78 116 74 72 98 74 16 16
"ENSG00000128285.4" 0 0 0 1 0 1 0 0 0 1 1 0 1 1
"ENSG00000128294.16" 190 384 826 318 209 390 736 794 271 284 671 527 124 140
"ENSG00000128298.17" 220 499 978 708 393 845 1328 1167 492 561 1136 936 310 329
"ENSG00000128309.16" 693 1730 3005 869 555 1286 2451 2278 694 654 2125 1558 292 335
"ENSG00000128310.3" 0 0 0 1 2 0 0 0 0 0 0 0 1 3
"ENSG00000128311.14" 391 1020 1926 776 415 979 1878 1649 407 397 1654 1196 118 167
"ENSG00000128313.2" 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000128322.7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000128335.14" 844 1650 3643 3605 2303 4029 3097 3789 1868 1823 2912 2462 760 814
"ENSG00000128340.15" 211 464 1012 926 497 1068 502 477 221 205 418 363 59 49
"ENSG00000128342.5" 1762 3775 9016 16083 7615 16238 16364 17693 6034 5871 15424 11773 5167 5689
"ENSG00000128346.11" 0 2 2 2 0 4 106 139 40 39 143 95 6 6
"ENSG00000128383.13" 1 3 5 15 4 7 23 33 18 16 34 17 21 18
"ENSG00000128394.17" 75 149 374 717 353 803 235 281 220 196 265 178 31 40
"ENSG00000128408.9" 28 43 131 14 7 17 114 117 27 27 113 93 14 32
"ENSG00000128422.17" 2485 5687 10069 14346 7325 14880 7115 6653 1909 1753 6100 4397 1767 1907
"ENSG00000128438.10" 2 0 0 0 0 0 2 2 1 0 4 0 0 1
"ENSG00000128463.13" 294 533 1131 349 192 367 960 1236 241 243 910 791 325 346
"ENSG00000128482.16" 7 8 11 17 10 20 15 17 10 8 14 11 3 3
"ENSG00000128487.16" 453 755 1809 1508 739 1589 2286 2917 1252 1241 2012 1668 1044 1162
"ENSG00000128510.12" 0 0 2 0 2 1 1 5 4 6 1 3 3 6
"ENSG00000128512.23" 47 35 171 76 52 88 104 148 70 86 106 78 54 56
"ENSG00000128513.16" 200 279 781 600 299 483 1319 1692 512 516 1235 955 417 413
"ENSG00000128519.3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000128524.5" 641 1594 3347 1322 654 1495 2243 2299 583 513 1943 1501 513 563
"ENSG00000128534.8" 526 843 1878 1310 693 1263 2222 2824 795 873 2056 1559 443 476
"ENSG00000128536.16" 11 16 51 15 15 28 61 94 18 28 67 47 21 20
"ENSG00000128563.13" 142 247 549 291 167 314 664 711 245 241 596 426 327 327
"ENSG00000128564.7" 9 13 24 11 4 7 7 8 21 18 2 6 11 15
"ENSG00000128567.17" 131 256 671 483 216 517 546 676 194 209 451 399 88 109
"ENSG00000128573.26" 13 12 43 25 31 26 49 77 79 76 45 50 25 20
"ENSG00000128578.10" 68 102 314 116 64 117 500 690 283 305 460 367 365 356
"ENSG00000128581.17" 147 258 595 140 67 145 538 707 167 150 501 394 116 146
"ENSG00000128585.18" 325 510 1372 1012 544 861 2932 3929 1864 1918 2715 2159 1370 1526
"ENSG00000128590.5" 143 172 578 280 183 276 488 603 288 273 465 373 715 728
"ENSG00000128591.15" 31 47 69 51 23 65 69 64 50 60 60 50 137 153
"ENSG00000128594.8" 0 1 1 2 0 2 5 3 2 1 1 1 13 12
"ENSG00000128595.17" 3090 4193 10720 5647 3159 5074 16373 21375 4029 3764 15863 12035 3550 3653
"ENSG00000128596.17" 4 9 8 7 10 9 16 28 16 12 18 14 5 9
