SRR1942929	SRR1942934	SRR1942956	SRR1942957	SRR1942960	SRR1942961	SRR1942989	SRR1942990
ERV316A3_6p21.33c	125	137	81	86	88	77	31	36
ERV316A3_6p22.1a	4	2	8	10	2	3	13	14
ERV316A3_6p22.1i	5	12	18	23	3	3	21	29
ERV316A3_6p22.1k	2	2	2	1	0	1	6	11
ERV316A3_6p22.1n	15	22	16	15	9	15	30	34
ERV316A3_6p22.1o	9	17	8	5	12	7	12	16
ERV316A3_6p22.3f	2	1	3	3	3	0	11	9
ERV316A3_6p25.1b	13	17	4	14	12	14	9	9
ERV316A3_6p25.1c	0	1	0	1	2	2	0	0
ERV316A3_6p25.1d	1	1	0	2	1	1	0	0
ERV316A3_6q13b	4	14	3	1	6	8	0	2
ERV316A3_6q14.2	1	0	1	1	0	2	2	0
ERV316A3_6q15a	0	0	0	1	0	0	0	1
ERV316A3_6q22.1a	2	7	5	3	5	3	1	1
ERV316A3_6q24.1a	217	318	93	113	210	178	139	174
ERV316A3_6q25.1e	0	0	0	1	0	0	0	0
ERV316A3_6q25.1g	1	0	0	0	1	1	3	0
ERV316A3_7p13a	4	2	3	2	9	3	1	3
ERV316A3_7p22.3	4	0	0	0	1	2	1	0
ERV316A3_7q31.31a	0	0	0	0	0	0	0	0
ERV316A3_7q33a	0	2	1	2	0	1	9	6
ERV316A3_7q36.1a	11	9	9	7	6	7	3	2
ERV316A3_7q36.2c	0	0	0	0	0	0	0	0
ERV316A3_8p12g	1	1	0	1	2	2	0	1
ERV316A3_8q24.12b	77	83	60	45	80	53	22	11
ERV316A3_8q24.12c	11	16	4	7	14	8	12	20
ERV316A3_8q24.13b	22	18	7	4	14	11	12	2
ERV316A3_8q24.21b	2	0	0	0	0	0	0	0
ERV316A3_8q24.3k	9	13	5	3	11	12	1	3
ERV316A3_9q34.13	3	2	1	1	1	2	2	8
ERV316A3_Xq26.1	28	29	13	12	19	15	8	14
ERV316A3_Xq28b	11	15	5	3	13	11	6	9
ERVL_10q11.22a	0	0	0	0	0	0	0	0
ERVL_10q11.22b	0	0	1	1	4	1	2	0
ERVL_1p36.22a	0	2	1	0	0	2	2	4
ERVL_1q44a	9	12	1	6	9	3	12	7
ERVL_1q44b	19	20	4	5	14	7	19	11
ERVL_3p12.2	6	7	5	3	5	4	16	27
ERVL_4p15.1a	0	0	0	0	0	0	0	0
ERVL_5q11.2	4	1	1	4	3	1	0	2
ERVL_6q16.3a	0	0	0	2	0	1	0	0
ERVL_6q24.3	3	3	2	3	7	1	1	2
ERVL_7p12.1a	23	38	10	10	30	14	7	8
ERVL_8q24.13	4	3	5	1	1	6	13	3
ERVL_Xp11.21a	0	1	0	0	0	0	0	0
ERVL_Xp11.22a	177	342	49	48	197	168	20	24
ERVLB4_1_KI270712v1_random	0	0	0	0	0	0	0	0
ERVLB4_10q11.22a	1	20	12	13	14	11	19	6
ERVLB4_10q11.22b	0	0	0	0	0	0	0	0
ERVLB4_10q23.33c	2	4	1	3	0	0	1	1
ERVLB4_10q26.2b	1	1	1	0	1	1	1	1
ERVLB4_11p15.4a	1	1	0	0	0	0	0	0
ERVLB4_11q21b	1	0	0	0	0	0	0	0
ERVLB4_12p11.22a	0	0	0	0	2	1	0	0
ERVLB4_12p11.22c	0	0	0	1	0	2	0	1
ERVLB4_12p13.2a	3	8	2	1	4	5	8	19
ERVLB4_12p13.2b	6	8	1	4	3	8	0	2
ERVLB4_12p13.2c	7	11	3	6	3	2	4	2
ERVLB4_12p13.2e	0	1	0	0	0	0	1	0
ERVLB4_12p13.31b	3	1	2	0	0	0	1	1
ERVLB4_12q21.1a	6	7	5	2	0	0	2	5
ERVLB4_13q14.11a	0	0	2	0	1	0	1	1
ERVLB4_13q14.11b	1	0	0	0	1	1	0	1
ERVLB4_14q13.3	0	2	3	2	3	1	0	0
ERVLB4_14q21.1a	2	2	0	3	4	0	0	0
ERVLB4_14q21.3d	1	1	2	2	0	1	2	1
ERVLB4_14q23.3	26	24	5	5	19	13	17	14
ERVLB4_15q11.1a	0	0	0	0	0	0	0	0
ERVLB4_15q11.1c	0	0	0	0	0	0	0	0
ERVLB4_15q11.2a	0	0	0	0	0	0	0	0
ERVLB4_15q13.3c	0	0	0	0	0	0	0	0
ERVLB4_15q21.2	14	19	5	3	6	11	4	7
ERVLB4_15q21.3	0	0	0	0	0	0	0	0
ERVLB4_15q26.2b	1	3	1	2	2	1	1	0
ERVLB4_15q26.3b	44	42	11	9	31	24	4	4
ERVLB4_16_KI270728v1_random(b)	0	0	0	0	0	0	0	0
ERVLB4_16p13.3a	5	3	1	1	4	6	1	0
ERVLB4_17q22c	323	405	105	117	284	232	72	71
ERVLB4_17q24.3	40	70	9	15	41	39	12	12
ERVLB4_18p11.21c	0	0	0	0	0	0	0	0
ERVLB4_19p13.11	8	10	0	2	10	5	1	2
