SRR1942929	SRR1942934	SRR1942956	SRR1942957	SRR1942960	SRR1942961	SRR1942989	SRR1942990
L1FLI_Xp21.1a	0	0	0	0	0	0	0	0
L1FLI_Xp21.1b	0	0	0	0	0	0	1	0
L1FLI_Xp22.11	0	0	0	0	0	0	0	0
L1FLI_Xp22.2a	0	0	0	0	0	0	0	0
L1FLI_Xp22.2b	0	0	1	1	0	0	0	0
L1FLI_Xq11.2	1	0	0	0	0	0	0	0
L1FLI_Xq21.1	0	0	0	0	0	0	0	0
L1FLI_Xq21.33	0	0	0	0	0	0	0	0
L1FLI_Xq27.2a	0	0	0	0	0	0	0	0
L1FLI_Xq27.2b	0	0	0	0	0	0	0	0
L1FLI_Xq28	1	2	0	1	2	1	0	0
L1FLI_Yp11.2	0	0	0	0	0	0	0	0
L1FLnI_10p11.1a	19	22	7	16	22	16	9	13
L1FLnI_10p11.1b	0	1	0	0	0	0	0	0
L1FLnI_10p11.1c	0	0	0	0	0	0	0	0
L1FLnI_10p11.1d	0	0	0	0	0	0	0	0
L1FLnI_10p11.1e	0	0	0	0	0	0	0	0
L1FLnI_10p11.1f	0	0	0	0	0	0	0	0
L1FLnI_10p11.1g	0	0	0	0	0	0	0	0
L1FLnI_10p11.1h	0	0	0	0	0	0	0	0
L1FLnI_10p11.1i	0	0	0	0	0	0	0	0
L1FLnI_10p11.21a	0	1	0	0	1	1	0	1
L1FLnI_10p11.21b	0	0	0	0	0	0	0	0
L1FLnI_10p11.21c	0	0	0	0	0	0	0	0
L1FLnI_10p11.21e	0	0	0	0	0	0	0	0
L1FLnI_10p11.21f	0	0	0	0	0	0	0	0
L1FLnI_10p11.21g	0	0	0	0	0	0	0	0
L1FLnI_10p11.21h	0	0	0	0	0	0	0	0
L1FLnI_10p11.21i	0	0	0	0	0	0	0	0
L1FLnI_10p11.21j	1	0	0	0	1	0	0	0
L1FLnI_10p11.21k	0	0	0	0	0	0	0	0
L1FLnI_10p11.21l	0	0	0	0	0	0	0	0
L1FLnI_10p11.22a	0	0	0	0	1	0	0	0
L1FLnI_10p11.22b	0	0	0	0	0	0	0	0
L1FLnI_10p11.22c	1	0	0	2	0	1	7	9
L1FLnI_10p11.22d	1	5	4	7	5	4	8	11
L1FLnI_10p11.22g	0	0	0	0	0	0	0	0
L1FLnI_10p11.22h	0	0	0	0	0	0	0	0
L1FLnI_10p11.22i	0	0	0	0	0	0	0	0
L1FLnI_10p11.22j	15	28	4	4	15	8	0	2
L1FLnI_10p11.22k	20	36	1	5	11	2	2	5
L1FLnI_10p11.22l	2	9	2	3	9	6	2	1
L1FLnI_10p11.22m	0	3	0	1	0	1	3	2
L1FLnI_10p11.22n	0	0	0	0	0	0	0	0
L1FLnI_10p11.22o	5	8	2	1	11	10	3	5
L1FLnI_10p11.22p	2	4	1	1	4	0	2	0
L1FLnI_10p11.22q	15	14	0	1	13	11	4	5
L1FLnI_10p11.22r	0	3	0	0	0	0	1	1
L1FLnI_10p11.22s	0	3	2	1	3	2	0	0
L1FLnI_10p11.22t	3	6	0	2	5	2	1	4
L1FLnI_10p11.22u	11736	15462	3646	3539	11367	8994	1749	1893
L1FLnI_10p11.22w	0	0	0	0	0	0	1	0
L1FLnI_10p11.22x	1	0	0	0	0	0	0	0
L1FLnI_10p11.23c	0	0	0	1	0	0	0	4
L1FLnI_10p12.1a	0	0	0	0	0	0	0	0
L1FLnI_10p12.1c	0	0	0	0	0	0	0	0
L1FLnI_10p12.1f	0	0	0	0	1	0	0	0
L1FLnI_10p12.1g	0	0	0	0	0	0	0	0
L1FLnI_10p12.1h	0	0	0	1	0	0	0	1
L1FLnI_10p12.1i	1	0	0	1	1	0	0	1
L1FLnI_10p12.1k	0	0	1	0	0	0	0	2
L1FLnI_10p12.1l	5	4	1	1	6	0	3	4
L1FLnI_10p12.1m	0	0	0	0	0	0	0	0
L1FLnI_10p12.1n	0	0	0	0	0	0	0	0
L1FLnI_10p12.2a	0	0	0	0	0	0	0	0
L1FLnI_10p12.2b	0	6	2	2	0	2	4	5
L1FLnI_10p12.2d	0	1	0	0	0	0	0	0
L1FLnI_10p12.2f	0	0	0	0	0	0	0	0
L1FLnI_10p12.2g	0	0	0	0	0	0	1	1
L1FLnI_10p12.2h	0	0	0	0	0	0	0	0
L1FLnI_10p12.2i	0	0	0	0	0	0	0	0
L1FLnI_10p12.2j	0	0	0	0	0	0	0	0
L1FLnI_10p12.2k	0	1	0	0	0	0	0	0
L1FLnI_10p12.31a	49	51	24	21	36	36	41	35
L1FLnI_10p12.31b	0	5	1	1	0	0	1	0
L1FLnI_10p12.31d	0	0	0	0	0	0	0	0
L1FLnI_10p12.31e	0	0	0	0	0	0	0	0
L1FLnI_10p12.31g	0	0	0	0	0	0	0	0
L1FLnI_10p12.31i	0	0	0	0	0	0	0	0
L1FLnI_10p12.31j	0	0	0	0	0	0	0	0
L1FLnI_10p12.31k	0	0	0	0	0	0	0	0
L1FLnI_10p12.31l	0	1	0	0	0	0	0	0
L1FLnI_10p12.31m	0	0	0	0	0	0	0	0
L1FLnI_10p12.31n	0	0	0	0	0	0	0	0
L1FLnI_10p12.31p	0	0	0	0	0	0	0	0
L1FLnI_10p12.31q	0	0	0	0	0	0	0	0
L1FLnI_10p12.31r	0	0	2	0	0	0	0	0
L1FLnI_10p12.31s	0	0	0	0	0	0	0	1
L1FLnI_10p12.31t	0	0	0	0	0	0	0	0
L1FLnI_10p12.31u	1	0	0	0	0	0	0	0
L1FLnI_10p12.31w	0	1	0	0	0	0	1	0
L1FLnI_10p12.31x	0	0	0	0	0	0	0	0
L1FLnI_10p12.33a	38	42	14	13	32	28	35	26
L1FLnI_10p12.33c	0	0	0	0	0	0	0	1
L1FLnI_10p13a	0	0	0	0	0	0	0	0
L1FLnI_10p13b	0	0	0	0	0	0	0	0
L1FLnI_10p13d	0	0	0	0	1	0	2	1
L1FLnI_10p13e	0	0	0	0	0	0	0	0
L1FLnI_10p13f	1	1	0	0	0	0	0	0
L1FLnI_10p13g	0	0	0	0	0	0	0	0
L1FLnI_10p13h	4	11	1	7	6	5	12	18
L1FLnI_10p14a	11	12	3	2	8	6	1	3
L1FLnI_10p14c	0	0	0	0	0	0	1	0
L1FLnI_10p14d	0	0	0	0	0	0	0	0
L1FLnI_10p14e	0	0	0	0	0	0	0	0
L1FLnI_10p14f	0	0	0	0	0	0	0	0
L1FLnI_10p14g	0	0	0	0	0	0	0	0
L1FLnI_10p14i	0	0	0	0	0	0	0	0
L1FLnI_10p14j	0	0	0	0	0	0	0	0
L1FLnI_10p15.1a	0	1	1	0	0	1	1	0
L1FLnI_10p15.1b	0	0	0	0	0	0	0	0
L1FLnI_10p15.1c	2	4	2	1	1	3	3	2
L1FLnI_10p15.1d	6	9	0	0	7	12	2	1
L1FLnI_10p15.1e	9	10	1	5	10	7	1	1
L1FLnI_10p15.3a	0	0	0	0	0	0	0	0
L1FLnI_10p15.3c	1	0	1	2	0	0	1	0
L1FLnI_10p15.3d	0	0	0	2	0	0	0	0
L1FLnI_10q11.21a	0	0	0	0	0	0	0	0
L1FLnI_10q11.21aa	0	0	0	0	0	0	0	0
L1FLnI_10q11.21b	0	0	0	0	0	0	0	0
L1FLnI_10q11.21ba	0	2	0	0	0	0	0	0
L1FLnI_10q11.21c	0	0	0	0	0	0	0	0
L1FLnI_10q11.21d	0	0	0	0	1	0	0	0
L1FLnI_10q11.21e	0	0	0	0	0	0	0	0
L1FLnI_10q11.21f	0	0	0	0	0	0	0	0
L1FLnI_10q11.21g	3	2	5	6	7	7	0	1
L1FLnI_10q11.21i	22	30	7	5	18	24	1	5
L1FLnI_10q11.21j	3	0	0	0	2	1	0	0
L1FLnI_10q11.21k	1	3	0	0	0	1	2	0
L1FLnI_10q11.21l	0	0	0	0	1	0	0	0
L1FLnI_10q11.21m	0	0	0	0	0	0	0	0
L1FLnI_10q11.21n	0	0	0	0	0	0	0	0
L1FLnI_10q11.21o	0	0	0	0	0	0	0	0
L1FLnI_10q11.21p	0	0	0	0	0	0	0	0
L1FLnI_10q11.21q	0	0	0	0	0	0	0	0
L1FLnI_10q11.21r	0	0	0	0	0	0	0	0
L1FLnI_10q11.21s	6	3	4	1	5	3	2	2
L1FLnI_10q11.21t	0	0	0	0	0	0	0	0
L1FLnI_10q11.21u	0	0	0	0	0	0	0	0
L1FLnI_10q11.21w	0	1	0	0	0	0	0	0
L1FLnI_10q11.21x	0	0	0	0	0	1	0	0
L1FLnI_10q11.22b	1	0	1	0	0	1	0	0
L1FLnI_10q11.22c	4	8	4	5	10	5	5	6
L1FLnI_10q11.23a	0	0	0	0	0	0	0	0
L1FLnI_10q11.23b	1	0	0	0	0	0	0	0
L1FLnI_10q11.23d	0	0	0	0	0	0	0	0
L1FLnI_10q11.23e	1	0	0	0	0	1	1	0
L1FLnI_10q21.1a	0	0	0	0	0	0	0	0
L1FLnI_10q21.1ba	0	0	0	0	0	0	0	0
L1FLnI_10q21.1c	0	0	0	0	0	0	0	0
L1FLnI_10q21.1ca	0	0	0	0	0	0	0	0
L1FLnI_10q21.1f	0	1	0	0	1	0	0	0
L1FLnI_10q21.1fa	0	0	1	0	0	1	1	2
L1FLnI_10q21.1g	52	56	13	20	51	32	16	17
L1FLnI_10q21.1ga	0	0	0	0	0	0	0	0
L1FLnI_10q21.1h	0	0	0	0	0	0	1	1
L1FLnI_10q21.1ha	0	0	0	0	0	0	0	0
L1FLnI_10q21.1i	0	1	0	0	0	1	0	1
L1FLnI_10q21.1ja	22	30	12	9	9	6	0	4
L1FLnI_10q21.1k	0	0	0	0	0	0	0	0
L1FLnI_10q21.1ka	110	135	66	80	95	72	72	93
L1FLnI_10q21.1la	22	23	24	22	20	12	8	13
L1FLnI_10q21.1m	0	0	0	0	0	0	0	0
L1FLnI_10q21.1ma	5	4	7	7	4	4	13	19
L1FLnI_10q21.1na	1	4	2	3	1	2	2	7
L1FLnI_10q21.1o	0	0	0	0	0	0	0	0
L1FLnI_10q21.1oa	0	0	0	0	0	0	0	0
L1FLnI_10q21.1p	0	0	1	0	0	1	0	0
L1FLnI_10q21.1pa	2	2	1	2	2	0	1	2
L1FLnI_10q21.1q	0	0	0	0	0	0	0	0
L1FLnI_10q21.1qa	2	2	2	2	1	1	2	0
L1FLnI_10q21.1ra	12	19	9	13	11	7	3	6
L1FLnI_10q21.1t	0	0	0	0	0	0	0	0
L1FLnI_10q21.1ta	7	2	11	14	4	7	30	24
L1FLnI_10q21.1u	0	0	0	0	0	0	0	0
L1FLnI_10q21.1v	0	0	0	0	0	0	0	0
L1FLnI_10q21.1va	11	12	0	5	3	13	1	1
L1FLnI_10q21.1y	0	0	0	0	0	0	0	0
L1FLnI_10q21.1z	0	0	0	0	0	0	0	0
L1FLnI_10q21.2a	0	0	0	0	0	0	0	0
L1FLnI_10q21.2b	0	0	0	0	0	0	0	1
L1FLnI_10q21.2c	0	0	0	1	0	0	0	0
L1FLnI_10q21.2d	0	0	0	0	0	0	0	0
L1FLnI_10q21.2e	0	0	0	0	0	0	0	0
L1FLnI_10q21.2g	0	0	0	0	0	0	0	0
L1FLnI_10q21.2i	0	0	1	2	0	0	0	0
L1FLnI_10q21.2j	0	1	0	0	0	1	0	0
L1FLnI_10q21.2k	0	0	1	0	0	0	3	1
L1FLnI_10q21.3a	0	0	0	0	0	0	0	0
L1FLnI_10q21.3b	0	1	0	0	0	0	0	0
L1FLnI_10q21.3ba	0	0	0	0	0	0	0	0
L1FLnI_10q21.3c	0	0	0	0	0	0	0	0
L1FLnI_10q21.3ca	0	1	0	0	0	0	0	0
L1FLnI_10q21.3d	0	0	0	0	0	0	0	0
L1FLnI_10q21.3da	0	0	0	0	0	0	0	0
L1FLnI_10q21.3e	0	0	0	0	1	0	0	0
L1FLnI_10q21.3ea	0	0	0	0	0	0	0	0
L1FLnI_10q21.3f	0	0	0	0	0	0	0	0
L1FLnI_10q21.3fa	0	0	0	0	0	0	0	0
L1FLnI_10q21.3g	23	22	1	2	18	22	1	2
L1FLnI_10q21.3ga	0	0	0	0	0	0	0	0
L1FLnI_10q21.3h	0	0	0	0	0	0	0	1
L1FLnI_10q21.3i	0	0	0	0	0	0	0	0
L1FLnI_10q21.3j	0	0	0	0	0	0	0	0
L1FLnI_10q21.3m	113	158	24	25	117	77	8	7
L1FLnI_10q21.3n	0	0	0	1	0	0	0	0
L1FLnI_10q21.3p	0	0	0	0	0	0	1	0
L1FLnI_10q21.3q	0	0	0	0	0	0	0	0
L1FLnI_10q21.3r	0	0	0	0	0	1	0	0
L1FLnI_10q21.3u	0	0	0	0	0	0	0	0
L1FLnI_10q21.3y	0	0	0	0	0	0	0	0
L1FLnI_10q21.3z	0	0	0	0	0	0	0	0
L1FLnI_10q22.1a	0	0	0	0	0	0	0	0
L1FLnI_10q22.1b	4	5	0	5	2	1	7	5
L1FLnI_10q22.1c	4	4	2	3	2	5	10	11
L1FLnI_10q22.1d	4	4	2	0	4	0	1	5
L1FLnI_10q22.2a	1	3	1	1	1	1	1	1
L1FLnI_10q22.2b	8	8	1	3	1	3	2	6
L1FLnI_10q22.2c	7	14	9	10	11	11	26	24
L1FLnI_10q22.2d	2	2	3	0	5	2	8	5
L1FLnI_10q22.2e	1	0	0	0	0	1	1	0
L1FLnI_10q22.2f	0	1	0	1	0	0	0	0
L1FLnI_10q22.2g	2	3	6	3	1	4	3	2
L1FLnI_10q22.3b	0	2	0	0	0	0	0	0
L1FLnI_10q22.3d	0	0	0	0	0	0	0	0
L1FLnI_10q22.3g	0	0	0	0	0	1	1	0
L1FLnI_10q22.3h	90	106	80	77	71	67	70	67
L1FLnI_10q22.3i	2	1	1	1	2	1	0	1
L1FLnI_10q22.3k	0	0	0	0	0	0	0	0
L1FLnI_10q22.3l	0	0	0	0	0	0	0	0
L1FLnI_10q22.3m	0	0	0	0	0	0	1	0
L1FLnI_10q22.3n	1	0	0	0	0	0	0	0
L1FLnI_10q23.1a	0	0	0	0	0	0	0	0
L1FLnI_10q23.1aa	0	0	0	0	0	0	0	0
L1FLnI_10q23.1b	2	0	2	2	1	0	0	1
L1FLnI_10q23.1c	0	0	0	0	1	0	0	0
L1FLnI_10q23.1d	0	0	1	0	0	0	2	1
L1FLnI_10q23.1ea	0	0	0	0	0	0	0	0
L1FLnI_10q23.1f	0	0	0	0	0	0	0	0
L1FLnI_10q23.1fa	0	0	0	0	0	0	0	0
L1FLnI_10q23.1g	0	0	0	0	0	0	0	0
L1FLnI_10q23.1ga	0	1	0	0	0	0	0	0
L1FLnI_10q23.1ha	1	5	1	7	0	2	9	5
L1FLnI_10q23.1ja	0	0	0	0	0	0	0	0
L1FLnI_10q23.1ka	0	0	0	0	0	0	0	0
L1FLnI_10q23.1m	0	0	0	0	0	0	0	0
L1FLnI_10q23.1ma	0	0	0	0	0	0	0	0
L1FLnI_10q23.1na	0	0	0	0	0	0	0	0
L1FLnI_10q23.1o	0	0	0	0	0	0	0	0
L1FLnI_10q23.1oa	0	0	0	0	0	0	0	0
L1FLnI_10q23.1p	0	0	0	0	0	0	0	0
L1FLnI_10q23.1pa	0	0	0	0	0	0	0	0
L1FLnI_10q23.1q	0	0	0	0	0	0	0	0
L1FLnI_10q23.1s	0	0	0	0	0	0	0	0
L1FLnI_10q23.1t	18	24	10	12	22	14	9	10
L1FLnI_10q23.1u	3	5	5	1	1	1	1	1
L1FLnI_10q23.1v	0	0	0	0	0	0	0	0
L1FLnI_10q23.1va	0	0	0	0	0	0	0	0
L1FLnI_10q23.1wa	0	0	0	0	0	0	0	0
L1FLnI_10q23.1xa	0	0	0	0	0	0	0	0
L1FLnI_10q23.2	5	2	0	2	2	2	1	3
L1FLnI_10q23.31a	3	2	0	3	5	0	2	1
L1FLnI_10q23.31ba	0	0	0	0	0	0	0	0
L1FLnI_10q23.31d	13	21	7	1	9	14	3	4
L1FLnI_10q23.31e	0	2	0	0	1	2	0	0
L1FLnI_10q23.31f	2	1	0	0	0	0	0	1
L1FLnI_10q23.31g	0	0	0	0	0	0	0	0
L1FLnI_10q23.31j	0	2	2	1	0	0	0	0
L1FLnI_10q23.31k	3	2	1	3	1	4	4	3
L1FLnI_10q23.31l	0	0	0	0	0	1	0	0
L1FLnI_10q23.31m	244	348	106	96	260	195	126	115
L1FLnI_10q23.31q	0	0	0	0	0	0	0	0
L1FLnI_10q23.31s	0	0	0	0	0	0	1	0
L1FLnI_10q23.31t	1	0	0	0	0	0	0	1
L1FLnI_10q23.31w	0	0	0	0	0	0	0	0
L1FLnI_10q23.31x	0	0	0	0	0	0	0	0
L1FLnI_10q23.32a	2	2	0	0	3	2	2	1
L1FLnI_10q23.32b	0	1	0	1	0	1	1	0
L1FLnI_10q23.32c	0	1	0	0	0	0	1	2
L1FLnI_10q23.32d	0	0	2	0	0	0	1	0
L1FLnI_10q23.32e	0	4	4	2	0	2	1	2
L1FLnI_10q23.32f	0	0	0	0	0	0	3	1
L1FLnI_10q23.32g	0	0	0	0	0	0	0	0
L1FLnI_10q23.32h	0	0	0	0	1	0	0	0
L1FLnI_10q23.33a	226	239	44	43	197	162	41	38
L1FLnI_10q23.33c	11	14	7	8	17	17	4	3
L1FLnI_10q23.33d	0	0	1	0	0	0	0	0
L1FLnI_10q23.33f	2	2	0	0	3	3	1	1
L1FLnI_10q23.33g	3	3	0	1	1	2	0	1
L1FLnI_10q23.33h	52	124	13	12	63	41	11	10
L1FLnI_10q23.33i	0	1	0	0	1	0	0	1
L1FLnI_10q23.33j	1	1	0	0	0	1	0	0
L1FLnI_10q23.33k	0	0	1	2	1	0	0	1
L1FLnI_10q23.33l	5	21	7	3	11	8	3	3
L1FLnI_10q23.33n	1	2	2	0	0	0	1	0
L1FLnI_10q23.33o	0	0	0	0	0	0	0	1
L1FLnI_10q23.33p	2	0	0	1	1	1	1	1
L1FLnI_10q23.33q	1	1	0	1	0	0	0	0
L1FLnI_10q23.33r	0	1	0	1	0	0	2	2
L1FLnI_10q23.33t	0	1	0	1	1	0	0	0
L1FLnI_10q24.1a	1	5	1	0	2	4	0	0
L1FLnI_10q24.1b	14	13	5	2	14	12	3	7
L1FLnI_10q24.2a	0	4	0	2	4	0	0	1
L1FLnI_10q24.2d	0	0	0	0	0	0	0	0
L1FLnI_10q24.2e	0	0	0	0	0	0	0	0
L1FLnI_10q24.2f	0	0	0	0	0	0	0	0
L1FLnI_10q24.2g	0	0	0	0	0	0	0	0
L1FLnI_10q24.2h	0	0	0	0	0	0	0	0
L1FLnI_10q24.2k	4	3	0	4	2	2	0	1
L1FLnI_10q24.2l	1	5	0	0	0	0	0	2
L1FLnI_10q24.31a	2	1	3	1	2	1	2	3
L1FLnI_10q24.31c	0	0	0	0	0	0	0	0
L1FLnI_10q25.1a	0	0	0	0	0	0	0	0
L1FLnI_10q25.1aa	0	0	0	0	0	0	0	0
L1FLnI_10q25.1c	0	0	0	0	0	0	0	0
L1FLnI_10q25.1d	0	0	0	0	0	0	0	0
L1FLnI_10q25.1da	0	0	0	0	0	0	0	0
L1FLnI_10q25.1ea	0	0	0	0	1	0	0	0
L1FLnI_10q25.1f	0	0	0	0	0	0	0	0
L1FLnI_10q25.1fa	0	0	0	0	0	0	1	0
L1FLnI_10q25.1g	0	0	0	0	0	0	0	0
L1FLnI_10q25.1ga	1	0	0	1	0	2	0	0
L1FLnI_10q25.1h	0	1	0	0	0	0	0	0
L1FLnI_10q25.1ha	0	0	1	0	0	0	2	1
L1FLnI_10q25.1i	0	0	0	0	0	0	0	0
L1FLnI_10q25.1ia	0	0	0	0	0	0	0	1
L1FLnI_10q25.1j	0	0	0	0	1	0	0	0
L1FLnI_10q25.1k	0	0	0	0	0	0	0	0
L1FLnI_10q25.1o	0	0	0	0	0	0	0	0
L1FLnI_10q25.1r	0	0	0	0	0	0	0	0
L1FLnI_10q25.1s	0	0	0	0	0	0	0	0
L1FLnI_10q25.1t	0	0	0	0	0	0	0	0
L1FLnI_10q25.1u	0	0	0	0	0	0	0	0
L1FLnI_10q25.1w	0	0	0	0	0	0	0	0
L1FLnI_10q25.1y	0	0	0	0	0	0	0	0
L1FLnI_10q25.1z	0	0	1	0	0	0	0	0
L1FLnI_10q25.2a	0	0	0	0	0	0	1	0
L1FLnI_10q25.2b	0	0	0	0	0	0	0	0
L1FLnI_10q25.2c	0	0	0	0	0	0	0	0
L1FLnI_10q25.2d	0	0	0	0	0	0	0	0
L1FLnI_10q25.2f	0	0	0	0	0	0	0	0
L1FLnI_10q25.2h	1	1	0	0	0	0	0	0
L1FLnI_10q25.2i	0	0	0	0	0	0	0	1
L1FLnI_10q25.3b	1	1	1	0	0	0	0	0
L1FLnI_10q25.3d	0	0	0	0	0	0	0	0
L1FLnI_10q25.3e	3	0	0	1	0	0	0	1
L1FLnI_10q25.3f	0	0	0	0	0	0	0	0
L1FLnI_10q25.3g	0	1	0	0	0	0	0	0
L1FLnI_10q25.3h	0	0	0	0	0	0	0	0
L1FLnI_10q25.3j	0	0	0	0	0	0	0	0
L1FLnI_10q25.3l	36	82	17	21	39	25	12	17
L1FLnI_10q25.3m	0	0	0	0	0	0	0	0
L1FLnI_10q26.11a	0	0	0	0	0	0	1	0
L1FLnI_10q26.11b	1	1	4	6	1	1	18	17
L1FLnI_10q26.11c	2	2	0	4	2	5	15	18
L1FLnI_10q26.12b	0	0	0	0	0	0	0	0
L1FLnI_10q26.12d	0	0	0	0	0	0	0	0
L1FLnI_10q26.12g	390	484	146	158	367	257	114	103
L1FLnI_10q26.13a	2	6	3	1	0	3	3	3
L1FLnI_10q26.13b	14	31	0	8	25	14	13	12
L1FLnI_10q26.13d	1	2	0	1	0	0	1	2
L1FLnI_10q26.13g	1	0	0	0	0	0	0	0
L1FLnI_10q26.13h	0	0	0	0	0	0	0	0
L1FLnI_10q26.13j	0	0	0	0	0	0	0	0
L1FLnI_10q26.2a	4	2	0	2	2	2	7	6
L1FLnI_10q26.2b	0	0	0	0	0	0	0	0
L1FLnI_10q26.2e	0	0	0	0	0	0	0	0
L1FLnI_10q26.2h	0	0	0	0	0	0	1	0
L1FLnI_10q26.2i	0	0	0	0	0	0	0	0
L1FLnI_10q26.2l	0	0	0	0	0	0	0	0
L1FLnI_10q26.2m	0	0	0	0	0	0	0	0
L1FLnI_10q26.2o	0	0	1	0	0	0	0	0
L1FLnI_10q26.3a	0	1	0	0	0	0	0	0
L1FLnI_10q26.3c	0	0	0	0	0	0	1	0
L1FLnI_10q26.3d	0	0	1	2	0	1	0	0
L1FLnI_10q26.3e	0	0	0	0	0	0	3	2
L1FLnI_10q26.3f	0	0	0	0	0	0	0	0
L1FLnI_11p11.12a	0	0	0	0	0	0	0	0
L1FLnI_11p11.12b	0	0	0	0	0	0	0	0
L1FLnI_11p11.12d	0	0	0	0	0	0	0	0
L1FLnI_11p11.12e	0	0	0	0	0	0	0	1
L1FLnI_11p11.12g	0	0	0	0	0	0	0	0
L1FLnI_11p11.12h	0	0	1	0	0	0	0	0
L1FLnI_11p11.12i	0	0	0	1	0	0	0	0
L1FLnI_11p11.12j	0	0	0	0	0	0	0	0
L1FLnI_11p11.12k	1	0	2	0	1	0	0	0
L1FLnI_11p11.12l	0	0	0	0	0	0	0	0
L1FLnI_11p11.12m	0	0	0	0	0	0	0	0
L1FLnI_11p11.12n	0	0	0	0	0	0	0	0
L1FLnI_11p11.2a	0	0	0	0	0	0	0	0
L1FLnI_11p11.2b	0	0	0	0	1	0	0	0
L1FLnI_11p11.2d	0	0	0	0	0	0	0	0
L1FLnI_11p11.2e	0	1	0	0	0	0	0	1
L1FLnI_11p11.2f	0	0	0	0	0	0	0	0
L1FLnI_11p11.2h	1	3	0	0	1	0	0	1
L1FLnI_11p11.2i	0	0	7	7	0	0	0	1
L1FLnI_11p11.2k	0	0	0	0	0	0	0	0
L1FLnI_11p11.2l	0	0	0	0	0	0	0	0
L1FLnI_11p11.2m	1	0	0	0	0	0	0	0
L1FLnI_11p11.2n	0	0	0	0	0	0	0	0
L1FLnI_11p11.2o	0	0	0	0	0	0	0	0
L1FLnI_11p11.2p	0	0	0	0	0	0	0	0
L1FLnI_11p11.2q	0	0	0	0	0	0	0	0
L1FLnI_11p11.2r	0	0	0	0	0	0	0	0
L1FLnI_11p11.2s	0	0	0	0	0	0	0	0
L1FLnI_11p11.2t	0	0	0	0	0	0	0	0
L1FLnI_11p11.2u	0	0	0	0	0	0	0	0
L1FLnI_11p11.2v	0	0	0	0	0	0	0	0
L1FLnI_11p11.2w	0	0	0	0	0	0	0	0
L1FLnI_11p11.2x	0	0	0	0	0	0	0	0
L1FLnI_11p11.2y	0	0	0	0	0	0	0	0
L1FLnI_11p11.2z	0	0	0	0	0	0	1	0
L1FLnI_11p12a	0	2	0	0	1	0	0	0
L1FLnI_11p12aa	0	1	0	0	0	0	0	0
L1FLnI_11p12b	0	0	0	0	0	0	0	0
L1FLnI_11p12ca	0	0	0	0	0	0	0	0
L1FLnI_11p12e	0	0	0	0	0	0	0	0
L1FLnI_11p12ea	0	0	0	0	0	0	0	0
L1FLnI_11p12f	0	0	0	0	0	0	0	0
L1FLnI_11p12ga	0	0	0	0	0	0	0	0
L1FLnI_11p12h	0	0	0	0	0	0	0	0
L1FLnI_11p12ha	0	0	0	0	0	0	0	0
L1FLnI_11p12i	0	0	0	0	0	0	0	0
L1FLnI_11p12ia	0	0	0	0	0	0	0	0
L1FLnI_11p12k	0	0	0	0	0	0	0	0
L1FLnI_11p12ka	0	0	0	0	0	0	0	0
L1FLnI_11p12m	0	0	0	0	0	0	0	0
L1FLnI_11p12n	0	0	0	0	0	0	0	0
L1FLnI_11p12na	0	0	0	0	0	0	0	0
L1FLnI_11p12pa	0	0	0	0	0	0	0	0
L1FLnI_11p12qa	0	0	0	0	0	0	0	0
L1FLnI_11p12r	0	0	0	0	0	0	0	0
L1FLnI_11p12ra	0	0	0	0	0	0	0	0
L1FLnI_11p12s	0	0	0	0	0	0	0	0
L1FLnI_11p12sa	0	0	0	0	0	0	0	0
L1FLnI_11p12ta	0	0	0	0	0	0	0	0
L1FLnI_11p12u	0	0	0	0	0	0	0	0
L1FLnI_11p12ua	0	1	1	0	0	0	0	0
L1FLnI_11p12v	0	0	0	0	0	0	0	0
L1FLnI_11p12va	0	0	0	0	0	0	0	0
L1FLnI_11p12w	0	0	0	0	0	0	0	0
L1FLnI_11p12x	0	0	0	0	1	0	0	0
L1FLnI_11p12xa	10	5	4	3	3	7	2	2
L1FLnI_11p12y	0	0	0	0	0	0	0	0
L1FLnI_11p13b	4	2	0	1	0	1	1	0
L1FLnI_11p13c	1	1	0	1	0	0	0	1
L1FLnI_11p13d	2	4	2	1	2	3	3	8
L1FLnI_11p13e	1	2	2	2	1	2	7	3
L1FLnI_11p13f	10	11	5	8	14	3	12	15
L1FLnI_11p13i	0	1	0	0	1	0	6	5
L1FLnI_11p13j	1	0	0	0	1	0	0	0
L1FLnI_11p13k	4	2	3	0	4	2	1	0
L1FLnI_11p13l	7	7	8	3	6	5	4	3
L1FLnI_11p13n	4	16	0	6	10	13	5	9
L1FLnI_11p13o	576	789	99	118	560	442	112	120
L1FLnI_11p13q	35	69	13	13	52	35	21	38
L1FLnI_11p13r	55	82	20	20	49	47	49	46
L1FLnI_11p13s	1	1	0	0	0	1	2	0
L1FLnI_11p13u	25	31	5	6	25	16	10	10
L1FLnI_11p13w	1	2	0	0	3	0	0	0
L1FLnI_11p13x	3	8	10	5	10	4	10	14
L1FLnI_11p13y	8	11	6	8	20	7	17	19
L1FLnI_11p14.1a	2	0	0	0	2	1	0	0
L1FLnI_11p14.1b	0	1	0	0	0	0	0	0
L1FLnI_11p14.1c	0	1	1	1	1	3	1	2
L1FLnI_11p14.1d	25	21	14	21	21	12	14	11
L1FLnI_11p14.1e	13	16	10	10	12	13	7	15
