Calu3_mock3	Calu3_mock2	Calu3_mock1	Calu3_SARSCoV2_3	Calu3_SARSCoV2_2	Calu3_SARSCoV2_1
ERVLB4_1_KI270712v1_random	0	0	0	0	0	0
ERVLB4_10q21.3a	0	0	0	0	0	0
ERVLB4_11p15.5e	0	0	1	0	0	0
ERVLB4_11q21b	0	0	0	0	0	0
ERVLB4_11q24.3a	0	0	2	0	0	1
ERVLB4_12p12.3d	0	0	0	0	0	0
ERVLB4_12p13.2a	0	0	1	2	0	1
ERVLB4_12q13.12a	3	0	0	0	0	3
ERVLB4_12q13.13	0	0	0	0	0	0
ERVLB4_12q21.32a	0	0	0	0	0	0
ERVLB4_12q24.11a	0	0	0	0	0	0
ERVLB4_13q12.12a	0	0	0	0	0	0
ERVLB4_13q12.12b	0	0	0	0	0	0
ERVLB4_15q11.1a	0	0	0	0	0	0
ERVLB4_15q11.1c	0	0	0	0	0	0
ERVLB4_15q11.2a	0	0	0	0	0	0
ERVLB4_15q21.2	0	1	4	2	0	2
ERVLB4_16_KI270728v1_random(b)	0	0	0	0	0	0
ERVLB4_16p13.3a	3	4	7	3	1	3
ERVLB4_16q13a	0	0	0	0	0	0
ERVLB4_16q13b	0	0	0	2	0	0
ERVLB4_17p13.3a	0	0	0	0	0	1
ERVLB4_17q22c	41	50	156	58	36	45
ERVLB4_17q25.3b	0	4	2	2	0	2
ERVLB4_19p13.11	1	1	3	1	1	3
ERVLB4_19q13.12	4	5	5	6	4	21
ERVLB4_19q13.31a	1	1	9	5	7	1
ERVLB4_19q13.31c	0	0	0	0	0	0
ERVLB4_1p34.1	0	0	0	0	0	0
ERVLB4_1q21.1a	0	0	0	0	0	0
ERVLB4_1q21.1b	0	0	0	0	0	0
ERVLB4_1q25.1b	0	0	0	0	0	0
ERVLB4_20p11.23b	0	0	0	0	0	0
ERVLB4_21q21.1a	0	0	0	0	0	0
ERVLB4_21q21.3e	43	80	169	108	63	96
ERVLB4_22q11.1a	0	0	0	0	0	0
ERVLB4_22q11.22a	0	0	0	0	0	0
ERVLB4_22q13.31b	6	2	3	4	3	0
ERVLB4_2p11.2a	0	0	0	0	0	0
ERVLB4_2p11.2d	0	0	0	0	0	0
ERVLB4_2p11.2e	0	0	0	0	0	0
ERVLB4_2p25.1b	0	0	2	2	2	4
ERVLB4_2q11.1a	0	0	0	3	0	0
ERVLB4_2q13b	0	0	0	0	0	0
ERVLB4_2q13c	0	1	171	102	45	81
ERVLB4_2q21.1c	0	0	4	0	0	2
ERVLB4_2q24.3c	0	0	0	0	0	1
ERVLB4_2q37.1a	2	16	17	14	6	17
ERVLB4_2q37.1b	0	0	0	0	1	1
ERVLB4_2q37.3b	8	15	44	26	8	35
ERVLB4_3p11.1c	2	0	1	0	1	2
ERVLB4_3p14.2	1	3	5	1	0	2
ERVLB4_3p21.31a	0	6	21	7	10	6
ERVLB4_3q12.3	0	0	0	0	1	1
ERVLB4_3q22.1a	3	3	7	5	0	5
ERVLB4_4q23b	3	3	7	9	10	13
ERVLB4_4q31.23	0	0	2	0	0	0
ERVLB4_6q16.1d	0	5	9	6	2	4
ERVLB4_6q23.2a	2	1	0	0	0	0
ERVLB4_7p21.1a	0	0	0	0	0	0
ERVLB4_7q22.1a	0	0	2	0	0	1
ERVLB4_7q36.3a	0	4	10	7	1	5
ERVLB4_7q36.3c	0	0	2	4	0	1
ERVLB4_8p11.21a	0	0	0	0	0	0
ERVLB4_8p11.22a	1	3	2	3	10	3
ERVLB4_8p11.23b	2	9	25	7	9	6
ERVLB4_8p12b	0	0	0	0	0	0
ERVLB4_8p21.1b	1	0	3	1	0	0
ERVLB4_8p21.1c	0	2	0	2	0	0
ERVLB4_8p21.3a	0	0	6	13	1	9
ERVLB4_8p21.3b	0	0	4	3	3	6
ERVLB4_8q24.3d	77	157	409	201	88	171
ERVLB4_9q22.33b	27	35	124	49	20	46
ERVLB4_9q31.3	0	0	0	0	1	3
