Calu3_mock3	Calu3_mock2	Calu3_mock1	Calu3_SARSCoV2_3	Calu3_SARSCoV2_2	Calu3_SARSCoV2_1
L1FLnI_10q25.1ia	0	0	0	0	0	0
L1FLnI_10q25.1j	0	0	0	0	0	0
L1FLnI_10q25.1k	0	0	2	0	0	0
L1FLnI_10q25.1o	0	0	0	0	0	0
L1FLnI_10q25.1r	0	0	0	0	0	0
L1FLnI_10q25.1s	0	0	0	0	0	1
L1FLnI_10q25.1t	0	0	0	0	0	0
L1FLnI_10q25.1u	0	0	0	0	0	0
L1FLnI_10q25.1v	0	0	0	0	0	0
L1FLnI_10q25.1w	0	0	0	0	0	0
L1FLnI_10q25.1y	0	0	0	0	0	0
L1FLnI_10q25.1z	0	0	0	0	0	0
L1FLnI_10q25.2a	0	0	0	0	0	0
L1FLnI_10q25.2b	0	0	0	0	0	0
L1FLnI_10q25.2c	0	0	0	0	0	0
L1FLnI_10q25.2d	0	0	0	0	0	0
L1FLnI_10q25.2f	0	0	0	0	0	0
L1FLnI_10q25.2h	0	0	0	0	0	0
L1FLnI_10q25.2i	0	0	0	0	0	0
L1FLnI_10q25.3a	0	0	0	0	0	0
L1FLnI_10q25.3b	0	0	0	0	0	0
L1FLnI_10q25.3c	1	0	0	4	0	0
L1FLnI_10q25.3d	0	0	0	0	0	0
L1FLnI_10q25.3e	0	0	1	0	1	0
L1FLnI_10q25.3f	0	0	0	0	0	0
L1FLnI_10q25.3g	0	0	0	0	0	0
L1FLnI_10q25.3h	0	0	0	0	0	0
L1FLnI_10q25.3j	0	0	0	0	0	0
L1FLnI_10q25.3k	0	0	0	0	0	0
L1FLnI_10q25.3l	4	1	14	4	3	4
L1FLnI_10q25.3m	0	0	0	0	0	0
L1FLnI_10q26.11a	0	0	0	0	0	0
L1FLnI_10q26.11b	0	0	0	0	0	0
L1FLnI_10q26.11c	0	0	0	0	0	0
L1FLnI_10q26.12b	0	0	0	0	0	0
L1FLnI_10q26.12c	0	0	0	0	0	0
L1FLnI_10q26.12d	0	0	0	0	0	0
L1FLnI_10q26.12f	0	0	0	0	0	0
L1FLnI_10q26.12g	42	61	136	96	60	72
L1FLnI_10q26.13a	0	0	0	0	0	0
L1FLnI_10q26.13b	11	2	12	7	3	5
L1FLnI_10q26.13c	0	0	0	0	0	0
L1FLnI_10q26.13d	1	0	0	0	0	0
L1FLnI_10q26.13f	0	0	0	0	0	0
L1FLnI_10q26.13g	0	0	0	0	0	0
L1FLnI_10q26.13h	0	0	0	0	0	0
L1FLnI_10q26.13j	0	0	0	0	0	0
L1FLnI_10q26.2a	3	0	0	2	0	2
L1FLnI_10q26.2b	0	0	0	0	0	0
L1FLnI_10q26.2c	0	0	0	0	0	0
L1FLnI_10q26.2e	0	0	0	0	0	0
L1FLnI_10q26.2h	0	0	0	0	0	0
L1FLnI_10q26.2i	0	0	1	0	0	0
L1FLnI_10q26.2l	0	0	0	0	0	0
L1FLnI_10q26.2m	0	0	0	0	0	0
L1FLnI_10q26.2o	0	0	0	0	0	0
L1FLnI_10q26.3a	0	0	0	0	0	0
L1FLnI_10q26.3b	0	0	1	0	0	0
L1FLnI_10q26.3c	0	0	0	0	0	0
L1FLnI_10q26.3d	0	0	0	0	0	0
L1FLnI_10q26.3e	0	0	0	0	0	0
L1FLnI_10q26.3f	0	0	0	0	0	0
L1FLnI_11p11.12a	0	0	0	0	0	0
L1FLnI_11p11.12b	0	0	0	0	0	0
L1FLnI_11p11.12d	0	0	0	0	0	0
L1FLnI_11p11.12e	0	0	0	0	0	0
L1FLnI_11p11.12g	0	0	0	0	0	0
L1FLnI_11p11.12h	0	0	0	0	0	0
L1FLnI_11p11.12i	0	0	0	0	0	0
L1FLnI_11p11.12j	0	0	0	0	0	0
L1FLnI_11p11.12k	0	0	0	0	0	0
L1FLnI_11p11.12l	0	0	0	0	0	0
L1FLnI_11p11.12m	0	0	0	0	0	0
L1FLnI_11p11.12n	0	0	0	0	0	0
L1FLnI_11p11.2a	0	0	0	0	0	0
L1FLnI_11p11.2b	0	0	0	0	0	0
L1FLnI_11p11.2d	0	0	0	0	0	0
L1FLnI_11p11.2e	0	2	0	0	0	0
L1FLnI_11p11.2f	0	0	0	0	0	0
L1FLnI_11p11.2h	0	0	0	2	0	1
L1FLnI_11p11.2i	0	0	0	1	2	0
L1FLnI_11p11.2k	0	0	0	0	0	0
L1FLnI_11p11.2l	0	0	0	0	0	0
L1FLnI_11p11.2m	0	0	0	0	0	0
L1FLnI_11p11.2n	0	0	1	0	0	0
L1FLnI_11p11.2o	0	0	0	0	0	0
L1FLnI_11p11.2p	0	0	0	0	0	0
L1FLnI_11p11.2q	0	0	0	0	0	0
L1FLnI_11p11.2r	0	0	0	0	0	0
L1FLnI_11p11.2s	0	0	0	0	0	0
L1FLnI_11p11.2t	0	0	0	0	0	0
L1FLnI_11p11.2u	0	0	0	0	0	0
L1FLnI_11p11.2v	0	0	0	0	0	0
L1FLnI_11p11.2w	0	0	0	0	0	0
L1FLnI_11p11.2x	0	0	0	0	0	0
L1FLnI_11p11.2y	0	0	0	0	0	0
L1FLnI_11p11.2z	0	0	0	0	0	0
L1FLnI_11p12a	0	0	0	0	0	0
L1FLnI_11p12aa	0	0	0	0	0	0
L1FLnI_11p12b	0	0	0	0	0	0
L1FLnI_11p12ca	0	0	0	0	0	0
L1FLnI_11p12d	0	0	0	0	0	0
L1FLnI_11p12e	0	0	0	0	0	0
L1FLnI_11p12ea	0	0	0	0	0	0
L1FLnI_11p12f	0	0	0	0	0	0
L1FLnI_11p12g	0	0	0	0	0	0
L1FLnI_11p12ga	0	0	0	0	0	0
L1FLnI_11p12h	0	0	0	1	0	0
L1FLnI_11p12ha	0	0	0	0	0	0
L1FLnI_11p12i	0	0	0	0	0	0
L1FLnI_11p12ia	0	0	0	0	0	0
L1FLnI_11p12j	0	0	1	0	0	0
L1FLnI_11p12ja	0	0	0	0	0	0
L1FLnI_11p12k	0	0	0	0	0	0
L1FLnI_11p12ka	0	0	0	0	0	0
L1FLnI_11p12l	0	0	0	0	0	0
L1FLnI_11p12m	0	0	0	0	0	0
L1FLnI_11p12ma	0	0	0	0	0	0
L1FLnI_11p12n	0	1	0	0	0	0
L1FLnI_11p12na	0	0	0	0	0	0
L1FLnI_11p12pa	0	0	0	0	0	0
L1FLnI_11p12qa	0	0	0	0	0	0
L1FLnI_11p12r	0	0	0	0	0	0
L1FLnI_11p12ra	0	0	0	0	0	0
L1FLnI_11p12s	0	0	0	0	0	1
L1FLnI_11p12sa	0	0	0	0	0	0
L1FLnI_11p12ta	0	0	0	0	0	0
L1FLnI_11p12u	0	0	0	0	0	0
L1FLnI_11p12ua	0	0	0	0	0	0
L1FLnI_11p12v	0	0	0	0	0	0
L1FLnI_11p12va	0	0	0	0	0	0
L1FLnI_11p12w	0	0	0	0	0	0
L1FLnI_11p12wa	0	0	0	0	0	0
L1FLnI_11p12x	0	0	0	0	0	0
L1FLnI_11p12xa	0	3	2	4	2	0
L1FLnI_11p12y	0	0	0	0	0	0
L1FLnI_11p12z	0	0	0	0	0	0
L1FLnI_11p13a	0	0	0	0	0	0
L1FLnI_11p13b	0	0	0	0	0	0
L1FLnI_11p13c	0	0	0	0	0	0
L1FLnI_11p13d	0	0	0	0	0	1
L1FLnI_11p13e	0	0	0	0	0	1
L1FLnI_11p13f	0	0	1	0	0	2
L1FLnI_11p13g	0	0	0	0	0	0
L1FLnI_11p13i	0	0	0	0	0	0
L1FLnI_11p13j	0	0	0	0	0	0
L1FLnI_11p13k	0	4	1	2	1	0
L1FLnI_11p13l	0	0	0	0	2	2
L1FLnI_11p13n	0	1	1	1	0	0
L1FLnI_11p13o	7	4	37	69	44	54
L1FLnI_11p13p	0	0	0	0	0	0
L1FLnI_11p13q	0	0	5	0	0	0
L1FLnI_11p13r	4	2	10	9	4	5
L1FLnI_11p13s	0	0	0	0	0	0
L1FLnI_11p13u	2	19	22	4	0	4
L1FLnI_11p13w	0	0	0	1	0	1
L1FLnI_11p13x	0	0	2	2	0	1
L1FLnI_11p13y	0	0	1	2	4	0
L1FLnI_11p14.1a	0	0	0	0	0	0
L1FLnI_11p14.1b	0	0	0	0	0	0
L1FLnI_11p14.1c	0	0	0	0	0	0
L1FLnI_11p14.1d	0	1	0	1	0	0
L1FLnI_11p14.1e	0	2	1	3	4	3
L1FLnI_11p14.1f	0	0	0	0	0	0
L1FLnI_11p14.1h	0	0	0	0	0	1
L1FLnI_11p14.1i	0	0	0	0	0	0
L1FLnI_11p14.1j	0	0	0	0	0	0
L1FLnI_11p14.1k	0	0	0	0	0	0
L1FLnI_11p14.1m	0	1	2	6	1	4
L1FLnI_11p14.1n	0	0	0	0	2	2
L1FLnI_11p14.1o	0	0	0	0	0	0
L1FLnI_11p14.1q	0	0	0	0	1	0
L1FLnI_11p14.1r	0	0	0	0	0	0
L1FLnI_11p14.1s	0	0	0	0	0	0
L1FLnI_11p14.1v	0	0	0	0	0	0
L1FLnI_11p14.1w	0	0	0	0	0	0
L1FLnI_11p14.1x	0	0	0	0	0	0
L1FLnI_11p14.1y	0	0	0	0	0	0
L1FLnI_11p14.1z	0	0	0	0	0	0
L1FLnI_11p14.2a	0	0	0	0	0	0
L1FLnI_11p14.2b	0	0	0	0	0	0
L1FLnI_11p14.2c	0	0	0	0	0	0
L1FLnI_11p14.2d	0	0	2	0	0	0
L1FLnI_11p14.2e	0	0	0	0	0	0
L1FLnI_11p14.3a	0	0	0	0	0	0
L1FLnI_11p14.3aa	0	0	0	0	0	0
L1FLnI_11p14.3b	0	0	0	0	0	0
L1FLnI_11p14.3ba	0	0	0	0	0	0
L1FLnI_11p14.3c	0	0	0	0	0	0
L1FLnI_11p14.3ca	0	0	0	0	0	0
L1FLnI_11p14.3e	35	44	109	42	45	45
L1FLnI_11p14.3ea	0	0	0	0	0	0
L1FLnI_11p14.3f	0	0	0	0	0	0
L1FLnI_11p14.3fa	0	0	0	0	0	0
L1FLnI_11p14.3ga	0	0	0	0	0	0
L1FLnI_11p14.3i	0	0	0	0	0	0
L1FLnI_11p14.3ia	0	0	0	0	0	0
L1FLnI_11p14.3ja	0	0	0	0	0	0
L1FLnI_11p14.3l	0	0	0	0	0	0
L1FLnI_11p14.3m	0	0	0	0	0	0
L1FLnI_11p14.3n	0	0	0	0	0	0
L1FLnI_11p14.3o	0	0	0	0	0	0
L1FLnI_11p14.3p	0	0	0	0	0	0
L1FLnI_11p14.3q	0	0	0	1	0	0
L1FLnI_11p14.3r	0	0	0	1	0	0
L1FLnI_11p14.3s	0	0	1	0	0	0
L1FLnI_11p14.3u	0	0	0	0	0	0
L1FLnI_11p14.3v	0	0	0	0	0	0
L1FLnI_11p14.3w	0	0	0	0	0	0
L1FLnI_11p14.3x	0	0	0	0	0	0
L1FLnI_11p14.3z	0	0	0	0	0	0
L1FLnI_11p15.1a	2	2	3	3	1	5
L1FLnI_11p15.1b	0	0	0	0	0	0
L1FLnI_11p15.1c	179	369	810	327	189	343
L1FLnI_11p15.1d	0	0	0	0	0	1
L1FLnI_11p15.1e	0	0	0	0	0	0
L1FLnI_11p15.1g	0	0	0	0	0	1
L1FLnI_11p15.1h	0	0	0	0	0	0
L1FLnI_11p15.1i	0	0	0	0	0	0
L1FLnI_11p15.1j	0	0	0	0	0	0
L1FLnI_11p15.1l	1	2	6	5	4	1
L1FLnI_11p15.1m	0	0	0	0	0	0
L1FLnI_11p15.1n	0	0	0	0	0	0
L1FLnI_11p15.1o	0	0	0	0	0	0
L1FLnI_11p15.1p	0	0	0	0	0	0
L1FLnI_11p15.1q	0	0	0	0	0	0
L1FLnI_11p15.1r	0	0	0	0	0	0
L1FLnI_11p15.1s	0	0	0	0	0	0
L1FLnI_11p15.1t	0	0	0	0	0	0
L1FLnI_11p15.1v	0	0	0	0	0	0
L1FLnI_11p15.1w	0	0	0	0	0	0
L1FLnI_11p15.1x	0	0	1	1	0	1
L1FLnI_11p15.1y	0	0	0	0	0	0
L1FLnI_11p15.2a	0	0	0	0	0	0
L1FLnI_11p15.2b	0	1	0	0	0	0
L1FLnI_11p15.2c	0	0	0	0	1	0
L1FLnI_11p15.2d	0	2	0	0	0	0
L1FLnI_11p15.2e	0	0	0	0	0	0
L1FLnI_11p15.2f	20	16	74	41	22	22
L1FLnI_11p15.2g	0	0	0	1	0	0
L1FLnI_11p15.2h	0	0	0	0	0	0
L1FLnI_11p15.2i	0	0	0	0	0	0
L1FLnI_11p15.2j	1	0	0	1	0	0
L1FLnI_11p15.2k	0	0	0	0	0	1
L1FLnI_11p15.2m	6	0	9	2	0	1
L1FLnI_11p15.2n	0	0	0	0	0	0
L1FLnI_11p15.2o	0	0	0	0	0	0
L1FLnI_11p15.2q	0	0	0	0	0	0
L1FLnI_11p15.2r	0	0	0	0	0	0
L1FLnI_11p15.2s	0	0	1	0	0	0
L1FLnI_11p15.2t	0	0	1	0	0	0
L1FLnI_11p15.2u	0	0	0	0	0	0
L1FLnI_11p15.2w	0	0	0	0	0	1
L1FLnI_11p15.3a	0	0	0	0	0	0
L1FLnI_11p15.3e	0	0	2	0	0	1
L1FLnI_11p15.3f	1	0	0	2	0	1
L1FLnI_11p15.3g	0	0	0	0	0	0
L1FLnI_11p15.3h	2	0	4	9	3	6
L1FLnI_11p15.3i	0	0	0	0	0	0
L1FLnI_11p15.3j	0	0	0	0	0	0
L1FLnI_11p15.3k	0	0	1	0	0	0
L1FLnI_11p15.3l	0	0	0	0	0	0
L1FLnI_11p15.3m	0	0	0	0	0	0
L1FLnI_11p15.3n	0	0	0	0	0	0
L1FLnI_11p15.3o	0	0	2	1	0	1
L1FLnI_11p15.4a	0	0	0	0	0	0
L1FLnI_11p15.4aa	0	0	0	0	0	0
L1FLnI_11p15.4b	0	0	0	0	0	0
L1FLnI_11p15.4ba	2	0	0	0	0	0
L1FLnI_11p15.4c	0	0	0	0	0	0
L1FLnI_11p15.4ca	0	1	0	0	0	0
L1FLnI_11p15.4d	0	0	1	0	0	0
L1FLnI_11p15.4da	0	0	0	0	0	0
L1FLnI_11p15.4e	0	0	1	0	0	1
L1FLnI_11p15.4ea	0	0	0	0	0	0
L1FLnI_11p15.4f	0	0	0	0	0	0
L1FLnI_11p15.4fa	0	0	0	1	0	2
L1FLnI_11p15.4g	0	0	0	0	0	0
L1FLnI_11p15.4ga	0	0	0	3	0	0
L1FLnI_11p15.4h	0	0	0	0	0	0
L1FLnI_11p15.4ha	0	0	0	0	0	0
L1FLnI_11p15.4i	0	0	0	3	0	0
L1FLnI_11p15.4ia	0	2	2	0	0	0
L1FLnI_11p15.4j	0	0	1	0	0	0
L1FLnI_11p15.4k	0	0	0	0	0	0
L1FLnI_11p15.4ka	0	0	0	0	0	0
L1FLnI_11p15.4la	0	0	0	0	0	0
L1FLnI_11p15.4m	0	0	0	2	0	0
L1FLnI_11p15.4ma	0	0	0	0	0	0
L1FLnI_11p15.4n	0	0	0	0	0	0
L1FLnI_11p15.4o	0	0	0	0	0	0
L1FLnI_11p15.4q	0	0	0	0	0	0
L1FLnI_11p15.4s	0	0	0	0	0	0
L1FLnI_11p15.4u	0	0	0	0	0	0
L1FLnI_11p15.4v	0	1	0	0	0	0
L1FLnI_11p15.4w	0	0	0	0	0	0
L1FLnI_11p15.4y	46	139	266	114	55	105
L1FLnI_11p15.4z	0	0	0	0	1	1
L1FLnI_11p15.5a	0	0	0	0	0	0
L1FLnI_11p15.5b	3	1	3	0	1	1
L1FLnI_11q11a	0	0	0	0	0	0
L1FLnI_11q11b	0	0	0	0	0	0
L1FLnI_11q11c	0	0	0	0	0	0
L1FLnI_11q11e	0	0	0	0	0	0
L1FLnI_11q11f	0	0	0	0	0	0
L1FLnI_11q11g	0	0	0	0	0	0
L1FLnI_11q11h	0	0	0	0	0	0
L1FLnI_11q11i	0	0	0	0	0	0
L1FLnI_11q11j	0	0	0	0	0	0
L1FLnI_11q11k	0	0	0	0	0	0
L1FLnI_11q11l	0	0	0	0	0	0
L1FLnI_11q11m	0	0	0	0	0	0
L1FLnI_11q11n	0	0	0	0	0	0
L1FLnI_11q11p	0	0	0	0	0	0
L1FLnI_11q11q	0	0	0	0	0	0
L1FLnI_11q11r	0	0	0	0	0	0
L1FLnI_11q11s	0	0	0	0	0	0
L1FLnI_11q11t	0	0	0	0	0	0
L1FLnI_11q11u	0	0	0	0	0	0
L1FLnI_11q11v	0	0	0	0	0	0
L1FLnI_11q11w	0	0	0	0	0	0
L1FLnI_11q11x	0	0	0	0	0	0
L1FLnI_11q12.1a	0	0	0	0	0	0
L1FLnI_11q12.1aa	0	0	0	0	0	0
L1FLnI_11q12.1b	0	0	0	0	0	0
L1FLnI_11q12.1ba	0	0	0	0	0	2
L1FLnI_11q12.1c	0	0	0	0	0	0
L1FLnI_11q12.1ca	0	1	0	1	0	1
L1FLnI_11q12.1d	0	0	0	0	0	0
L1FLnI_11q12.1da	0	0	0	0	0	0
L1FLnI_11q12.1e	0	0	0	0	0	1
L1FLnI_11q12.1f	0	0	0	0	0	0
L1FLnI_11q12.1g	0	0	0	0	0	0
L1FLnI_11q12.1i	0	0	0	0	0	0
L1FLnI_11q12.1j	0	0	0	0	0	0
L1FLnI_11q12.1k	8	0	28	6	1	5
L1FLnI_11q12.1l	0	0	0	0	0	1
L1FLnI_11q12.1m	0	0	0	0	0	0
L1FLnI_11q12.1n	0	0	0	0	0	0
L1FLnI_11q12.1o	0	0	0	0	0	0
L1FLnI_11q12.1q	0	0	0	0	0	0
L1FLnI_11q12.1s	0	0	0	0	0	0
L1FLnI_11q12.1t	0	0	2	0	0	2
L1FLnI_11q12.1v	0	0	2	0	0	1
L1FLnI_11q12.1w	0	0	0	0	0	0
L1FLnI_11q12.1x	0	0	0	0	0	1
L1FLnI_11q12.1y	0	0	0	0	0	0
L1FLnI_11q12.1z	0	0	0	0	0	0
L1FLnI_11q12.2a	0	0	0	0	0	0
L1FLnI_11q12.2b	0	0	0	0	0	0
L1FLnI_11q12.3a	16	16	35	9	8	7
L1FLnI_11q12.3b	0	0	0	0	0	0
L1FLnI_11q12.3c	0	0	0	0	0	0
L1FLnI_11q12.3d	0	0	0	0	0	0
L1FLnI_11q12.3e	0	0	1	0	0	0
L1FLnI_11q12.3g	0	0	0	0	0	0
L1FLnI_11q12.3h	0	0	0	0	0	0
L1FLnI_11q12.3i	0	0	0	0	0	0
L1FLnI_11q12.3j	0	0	0	0	0	0
L1FLnI_11q12.3k	0	0	0	0	1	0
L1FLnI_11q12.3l	0	0	0	0	0	0
L1FLnI_11q12.3n	0	0	0	0	0	0
L1FLnI_11q12.3o	0	0	0	0	0	0
L1FLnI_11q12.3p	0	0	0	0	0	0
L1FLnI_11q12.3q	0	0	0	0	0	0
L1FLnI_11q12.3r	0	0	0	0	0	0
L1FLnI_11q12.3s	0	0	0	0	0	0
L1FLnI_11q12.3t	0	0	0	0	0	0
L1FLnI_11q13.4b	1	0	0	0	0	0
L1FLnI_11q13.4c	0	0	0	0	0	0
L1FLnI_11q13.4d	0	0	0	0	1	6
L1FLnI_11q13.4e	0	1	0	0	0	1
L1FLnI_11q13.4f	4	5	9	6	8	9
L1FLnI_11q13.4g	0	0	0	3	0	3
L1FLnI_11q13.4h	0	0	4	0	0	1
L1FLnI_11q13.4i	1	0	0	0	0	0
L1FLnI_11q13.5a	0	0	0	0	0	0
L1FLnI_11q13.5b	0	0	4	1	1	2
L1FLnI_11q13.5c	3	2	11	8	4	10
L1FLnI_11q13.5f	0	2	8	0	1	2
L1FLnI_11q13.5g	0	1	8	3	3	2
L1FLnI_11q13.5h	45	55	122	58	35	76
L1FLnI_11q14.1a	0	0	0	0	0	0
L1FLnI_11q14.1b	1	0	0	0	0	0
L1FLnI_11q14.1c	0	0	0	0	0	0
L1FLnI_11q14.1ca	0	0	2	0	0	0
L1FLnI_11q14.1d	0	0	0	0	0	0
L1FLnI_11q14.1da	0	0	0	0	0	0
L1FLnI_11q14.1e	0	0	0	0	0	0
L1FLnI_11q14.1ea	0	0	0	0	0	0
L1FLnI_11q14.1f	0	0	1	0	0	0
L1FLnI_11q14.1fa	1	2	2	0	0	1
L1FLnI_11q14.1g	0	0	0	0	0	0
L1FLnI_11q14.1h	0	0	0	0	0	0
L1FLnI_11q14.1j	0	0	0	0	0	0
L1FLnI_11q14.1m	0	0	0	0	0	0
L1FLnI_11q14.1n	0	0	0	0	0	0
L1FLnI_11q14.1o	0	0	0	0	0	0
L1FLnI_11q14.1p	0	0	0	0	0	0
L1FLnI_11q14.1q	0	0	0	0	0	0
L1FLnI_11q14.1r	0	0	7	1	3	1
L1FLnI_11q14.1s	1	13	16	17	18	19
L1FLnI_11q14.1t	0	0	0	0	0	0
L1FLnI_11q14.1v	0	0	0	0	0	0
L1FLnI_11q14.1w	0	0	0	0	0	0
L1FLnI_11q14.1z	0	0	0	0	0	0
L1FLnI_11q14.2a	0	0	3	0	0	0
L1FLnI_11q14.2ba	0	0	0	0	0	0
L1FLnI_11q14.2c	0	0	0	0	1	0
L1FLnI_11q14.2d	0	0	0	0	0	0
L1FLnI_11q14.2e	0	0	0	0	0	0
L1FLnI_11q14.2f	0	0	0	0	0	0
L1FLnI_11q14.2g	0	0	0	0	0	0
L1FLnI_11q14.2h	0	0	1	4	0	0
L1FLnI_11q14.2i	0	0	0	0	0	0
L1FLnI_11q14.2j	0	0	1	0	0	0
L1FLnI_11q14.2k	0	0	0	0	0	0
L1FLnI_11q14.2l	0	0	1	0	0	2
L1FLnI_11q14.2m	0	0	0	0	0	0
L1FLnI_11q14.2n	0	0	0	0	0	0
L1FLnI_11q14.2o	0	0	0	0	0	0
L1FLnI_11q14.2p	0	0	0	0	0	0
L1FLnI_11q14.2q	0	1	0	0	0	0
L1FLnI_11q14.2r	0	0	0	1	0	0
L1FLnI_11q14.2s	0	0	4	1	0	0
L1FLnI_11q14.2t	0	0	0	0	0	0
L1FLnI_11q14.2v	0	0	0	0	0	0
L1FLnI_11q14.2y	0	0	0	0	0	0
L1FLnI_11q14.3a	0	0	0	0	0	1
L1FLnI_11q14.3aa	0	0	0	0	0	0
L1FLnI_11q14.3ba	0	0	0	0	0	0
L1FLnI_11q14.3c	0	0	0	2	0	0
L1FLnI_11q14.3d	0	0	0	0	0	1
L1FLnI_11q14.3da	0	0	0	0	0	0
L1FLnI_11q14.3e	0	0	0	0	0	0
L1FLnI_11q14.3ea	0	0	0	0	0	0
L1FLnI_11q14.3f	0	0	0	0	0	0
L1FLnI_11q14.3fa	0	0	0	0	0	0
L1FLnI_11q14.3h	0	0	0	0	0	0
L1FLnI_11q14.3i	0	0	0	0	0	0
L1FLnI_11q14.3j	0	0	0	0	0	0
L1FLnI_11q14.3k	0	0	0	0	0	0
L1FLnI_11q14.3l	0	0	0	0	0	0
L1FLnI_11q14.3m	0	0	0	0	0	0
L1FLnI_11q14.3n	0	0	0	0	0	0
L1FLnI_11q14.3p	0	0	0	0	0	0
L1FLnI_11q14.3r	0	0	0	0	0	0
L1FLnI_11q14.3t	0	0	0	0	0	0
L1FLnI_11q14.3u	0	0	0	0	0	0
L1FLnI_11q14.3v	0	0	0	0	0	0
L1FLnI_11q21a	0	0	0	0	0	0
L1FLnI_11q21b	3	0	5	2	0	3
L1FLnI_11q21c	0	2	0	0	0	0
L1FLnI_11q21ca	0	0	0	0	0	0
L1FLnI_11q21d	0	0	0	0	0	0
L1FLnI_11q21e	0	0	0	0	0	0
L1FLnI_11q21ea	0	0	0	0	0	0
L1FLnI_11q21f	0	0	0	0	0	0
L1FLnI_11q21fa	0	0	0	0	0	0
L1FLnI_11q21g	0	0	0	0	0	0
L1FLnI_11q21i	0	0	0	0	0	0
L1FLnI_11q21j	0	0	0	0	0	0
L1FLnI_11q21k	0	0	2	0	0	0
L1FLnI_11q21l	0	0	0	0	0	0
L1FLnI_11q21m	0	0	0	0	2	0
L1FLnI_11q21n	6	3	4	2	12	2
L1FLnI_11q21p	0	0	0	0	0	0
L1FLnI_11q21q	0	0	4	0	0	2
L1FLnI_11q21r	0	0	1	0	0	0
L1FLnI_11q21s	0	0	0	0	0	0
L1FLnI_11q21t	0	0	0	0	0	0
L1FLnI_11q21u	0	0	0	0	0	0
L1FLnI_11q21v	0	0	0	0	0	0
L1FLnI_11q21w	0	0	0	0	0	0
L1FLnI_11q21x	0	0	0	0	0	0
L1FLnI_11q21y	0	0	0	0	0	0
L1FLnI_11q21z	0	0	0	0	0	0
L1FLnI_11q22.1aa	0	0	0	0	0	0
L1FLnI_11q22.1b	0	0	0	0	0	0
L1FLnI_11q22.1ba	0	0	0	0	0	0
L1FLnI_11q22.1c	0	0	0	0	0	0
L1FLnI_11q22.1ca	0	0	0	0	0	0
L1FLnI_11q22.1d	0	0	0	0	0	0
L1FLnI_11q22.1e	0	0	0	0	0	0
L1FLnI_11q22.1ea	0	0	0	1	0	0
L1FLnI_11q22.1fa	0	0	0	0	0	0
L1FLnI_11q22.1g	0	0	0	0	0	0
L1FLnI_11q22.1ga	0	0	0	0	0	0
L1FLnI_11q22.1h	0	0	0	0	0	0
L1FLnI_11q22.1i	0	0	0	0	0	0
L1FLnI_11q22.1ia	0	0	0	0	0	0
L1FLnI_11q22.1ja	0	0	0	0	0	0
L1FLnI_11q22.1k	0	0	0	0	0	0
L1FLnI_11q22.1ka	0	0	1	0	0	0
L1FLnI_11q22.1la	0	0	0	0	0	0
L1FLnI_11q22.1m	0	0	0	0	0	0
L1FLnI_11q22.1ma	0	0	0	0	0	0
L1FLnI_11q22.1n	0	0	0	0	0	0
L1FLnI_11q22.1na	0	0	0	0	0	0
L1FLnI_11q22.1p	0	0	0	0	0	0
L1FLnI_11q22.1r	0	0	0	0	0	0
L1FLnI_11q22.1s	0	0	0	0	0	0
L1FLnI_11q22.1u	0	0	0	0	0	0
L1FLnI_11q22.1v	0	0	0	0	0	0
L1FLnI_11q22.1w	0	0	0	0	0	0
L1FLnI_11q22.1x	0	0	0	0	0	0
L1FLnI_11q22.1y	0	0	0	0	0	0
L1FLnI_11q22.2a	70	82	169	173	135	143
L1FLnI_11q22.2b	0	0	3	0	0	0
L1FLnI_11q22.2c	0	1	6	3	1	7
L1FLnI_11q22.2d	0	0	0	0	0	0
L1FLnI_11q22.3a	0	1	1	0	0	0
L1FLnI_11q22.3aa	0	1	7	3	3	1
L1FLnI_11q22.3b	0	0	0	0	0	0
L1FLnI_11q22.3ba	0	0	0	1	0	1
L1FLnI_11q22.3c	0	0	0	0	3	0
L1FLnI_11q22.3ca	0	0	0	0	0	0
L1FLnI_11q22.3d	0	0	0	0	0	0
L1FLnI_11q22.3e	0	0	0	0	0	0
L1FLnI_11q22.3ea	0	0	0	0	0	0
L1FLnI_11q22.3fa	0	0	0	0	0	0
L1FLnI_11q22.3g	0	0	0	0	0	0
L1FLnI_11q22.3ga	0	0	0	0	0	0
L1FLnI_11q22.3ha	0	0	0	0	0	0
L1FLnI_11q22.3i	0	0	0	0	0	0
L1FLnI_11q22.3j	0	0	0	0	0	0
L1FLnI_11q22.3ka	0	0	0	0	0	0
L1FLnI_11q22.3l	0	0	0	0	0	0
L1FLnI_11q22.3la	0	0	0	0	0	0
L1FLnI_11q22.3m	0	0	0	0	0	0
L1FLnI_11q22.3n	0	0	0	0	0	0
L1FLnI_11q22.3oa	0	0	0	0	0	0
L1FLnI_11q22.3p	0	0	0	0	0	0
L1FLnI_11q22.3pa	0	0	0	0	0	0
L1FLnI_11q22.3qa	0	1	0	0	0	0
L1FLnI_11q22.3t	1	0	0	0	1	6
L1FLnI_11q22.3u	0	0	0	0	0	0
L1FLnI_11q22.3v	0	0	0	0	0	0
L1FLnI_11q22.3x	0	0	0	0	0	1
L1FLnI_11q22.3z	0	0	1	2	2	1
L1FLnI_11q23.1a	0	0	1	0	0	0
