mock1_13	mock2_14	wt1_15	wt2_16	CoV_A549_mock3	CoV_A549_mock2	CoV_A549_mock1	CoV_A549_SARSCoV2_3	CoV_A549_SARSCoV2_2	CoV_A549_SARSCoV2_1
L1FLnI_1q21.1a	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q21.1b	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q21.1c	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q21.1d	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q21.1e	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q21.1f	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q21.1h	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q21.1i	0	0	2	0	0	0	0	0	0	0
L1FLnI_1q21.1j	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q21.1k	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q21.1l	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q21.1m	0	0	0	0	0	0	0	0	1	1
L1FLnI_1q21.2a	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q21.2b	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q21.2c	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q21.2d	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q21.2e	0	0	0	0	0	0	0	0	3	0
L1FLnI_1q21.2f	0	4	5	0	3	7	12	12	20	23
L1FLnI_1q21.3a	0	0	0	0	3	0	0	9	9	24
L1FLnI_1q21.3b	0	1	2	0	0	0	0	0	0	0
L1FLnI_1q21.3c	0	0	0	0	0	0	0	0	1	0
L1FLnI_1q21.3d	0	0	0	0	0	1	3	3	10	6
L1FLnI_1q21.3e	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q21.3f	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q21.3i	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q21.3j	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q21.3k	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q21.3l	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q21.3m	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.1a	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.1b	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.1c	0	0	0	1	0	0	0	0	0	0
L1FLnI_1q23.1d	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.1i	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.1j	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.1k	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.1l	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.1m	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.1n	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.1o	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.1p	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.1r	0	1	0	0	0	0	0	0	0	0
L1FLnI_1q23.1s	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.1u	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.2a	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.2b	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.2c	0	0	1	0	0	0	0	0	0	0
L1FLnI_1q23.2d	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.2e	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.2f	0	0	1	0	3	2	0	0	2	1
L1FLnI_1q23.2g	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.2h	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.2i	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.3a	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.3b	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.3c	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.3e	0	0	0	0	1	0	1	0	0	1
L1FLnI_1q23.3f	0	0	0	0	0	1	0	0	1	0
L1FLnI_1q23.3g	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.3h	0	0	0	0	0	0	0	0	1	0
L1FLnI_1q23.3i	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.3l	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.3m	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.3n	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.3q	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.3r	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.3s	0	0	1	0	0	0	0	0	0	0
L1FLnI_1q23.3u	88	250	147	20	162	179	197	87	132	195
L1FLnI_1q23.3v	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.3w	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q23.3x	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q24.1a	4	3	5	1	4	2	2	2	7	12
L1FLnI_1q24.1b	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q24.1c	0	0	1	0	0	0	0	0	0	0
L1FLnI_1q24.1d	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q24.1e	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q24.1g	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q24.1h	0	0	0	0	0	0	0	0	0	1
L1FLnI_1q24.2a	0	0	1	0	0	0	0	0	0	0
L1FLnI_1q24.2b	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q24.2c	0	0	2	0	0	0	0	0	1	0
L1FLnI_1q24.2e	0	0	0	0	0	0	0	1	0	0
L1FLnI_1q24.2f	0	0	1	0	8	1	3	6	9	10
L1FLnI_1q24.2g	2	1	1	0	4	2	3	6	3	12
L1FLnI_1q24.2h	0	0	0	1	0	0	0	0	1	1
L1FLnI_1q24.2i	0	0	0	0	0	0	0	1	0	0
L1FLnI_1q24.2j	3	2	2	0	6	4	7	9	16	13
L1FLnI_1q24.2k	8	6	31	2	7	10	20	8	22	42
L1FLnI_1q24.2l	0	0	0	0	0	0	0	2	0	0
L1FLnI_1q24.2m	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q24.2q	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q24.2r	0	0	1	0	0	3	0	0	0	0
L1FLnI_1q24.2s	0	0	2	1	0	0	0	0	0	0
L1FLnI_1q24.2t	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q24.3a	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q24.3b	1	2	0	0	3	0	0	1	7	13
L1FLnI_1q24.3c	0	0	0	0	0	0	0	0	0	2
L1FLnI_1q24.3e	100	208	225	50	437	465	416	386	417	760
L1FLnI_1q24.3f	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q24.3h	0	0	0	0	0	0	0	2	0	0
L1FLnI_1q24.3i	0	0	2	0	1	0	2	3	6	1
L1FLnI_1q24.3j	0	0	3	0	1	2	0	2	1	0
L1FLnI_1q24.3l	1	2	9	1	8	10	8	13	17	29
L1FLnI_1q24.3m	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.1a	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.1b	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.1c	0	1	0	0	0	0	0	0	0	0
L1FLnI_1q25.1d	0	0	3	4	0	0	0	0	0	0
L1FLnI_1q25.1e	0	2	0	0	0	2	0	2	0	0
L1FLnI_1q25.1f	0	0	0	0	0	1	0	0	0	3
L1FLnI_1q25.1g	0	0	0	0	1	1	1	3	5	11
L1FLnI_1q25.1h	3	17	5	2	22	22	19	17	25	44
L1FLnI_1q25.1i	2	5	4	1	20	10	13	14	14	24
L1FLnI_1q25.1j	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.1k	1	5	10	2	5	21	11	9	10	16
L1FLnI_1q25.1l	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.1m	2	12	15	2	15	17	16	10	15	32
L1FLnI_1q25.1n	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.1o	1	1	0	1	13	8	6	5	10	11
L1FLnI_1q25.1q	0	0	0	0	0	1	1	2	2	1
L1FLnI_1q25.2a	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.2c	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.2e	0	0	0	0	0	0	0	2	1	0
L1FLnI_1q25.2f	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.2h	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.2i	0	0	0	0	0	0	0	0	0	1
L1FLnI_1q25.2j	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.2k	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.2l	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.2m	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.2n	0	0	0	0	1	1	1	0	1	0
L1FLnI_1q25.2o	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.2p	0	1	0	3	0	3	0	3	1	1
L1FLnI_1q25.2q	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.2r	0	0	0	0	0	0	0	0	1	1
L1FLnI_1q25.2s	0	0	1	0	0	0	0	0	1	0
L1FLnI_1q25.2t	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.2u	0	0	1	0	1	0	1	1	0	0
L1FLnI_1q25.2v	1	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.3a	0	0	0	0	0	0	0	0	2	0
L1FLnI_1q25.3b	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.3c	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.3d	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.3e	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.3f	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.3g	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.3h	1	0	0	0	0	0	0	0	1	0
L1FLnI_1q25.3i	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.3j	0	0	0	0	1	0	2	0	1	0
L1FLnI_1q25.3k	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.3l	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.3m	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.3n	0	0	1	0	0	0	0	1	1	0
L1FLnI_1q25.3o	0	1	0	0	0	1	0	0	0	0
L1FLnI_1q25.3p	1	0	0	0	2	1	0	0	0	0
L1FLnI_1q25.3q	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.3r	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q25.3s	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q31.1b	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q31.1c	0	0	0	0	1	0	0	1	0	0
L1FLnI_1q31.1d	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q31.1e	1	0	3	0	1	0	0	1	0	0
L1FLnI_1q31.1f	0	0	0	0	0	0	0	0	1	0
L1FLnI_1q31.1g	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q31.1h	0	0	0	0	5	1	1	0	0	0
L1FLnI_1q31.1k	156	311	367	151	1130	1011	807	259	353	706
L1FLnI_1q31.1l	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q31.1p	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q31.1r	0	0	0	2	0	0	0	0	0	0
L1FLnI_1q31.1s	0	0	0	0	0	0	0	0	1	0
L1FLnI_1q31.1t	0	0	0	0	0	0	0	0	2	0
L1FLnI_1q31.1u	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q31.1v	0	0	0	0	0	0	0	0	1	0
L1FLnI_1q31.1x	0	0	2	0	0	1	0	1	0	2
L1FLnI_1q31.1y	0	1	0	0	0	0	0	0	0	1
L1FLnI_1q31.1z	0	0	0	1	0	0	0	0	0	0
L1FLnI_1q31.2a	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q31.2b	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q31.2c	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q31.2e	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q31.2f	0	0	0	0	0	0	0	1	0	0
L1FLnI_1q31.2g	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q31.2h	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q31.2j	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q31.2k	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q31.2l	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q31.2m	0	0	3	0	2	5	3	3	11	7
L1FLnI_1q31.2n	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q31.2p	0	0	1	0	0	0	1	0	0	0
L1FLnI_1q31.3a	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q31.3b	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q31.3d	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q31.3e	0	0	1	0	0	0	0	0	0	0
L1FLnI_1q31.3f	0	2	0	0	0	1	1	2	7	10
L1FLnI_1q31.3g	0	0	0	0	0	0	0	0	0	2
L1FLnI_1q31.3h	1	8	5	1	42	54	44	29	37	49
L1FLnI_1q31.3i	0	0	0	0	3	1	1	1	1	7
L1FLnI_1q31.3j	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q31.3k	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q31.3l	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q31.3m	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q31.3n	0	0	0	1	0	0	0	0	0	0
L1FLnI_1q31.3o	0	0	0	0	0	0	0	0	0	1
L1FLnI_1q31.3p	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q31.3q	0	0	1	0	0	0	0	0	0	0
L1FLnI_1q31.3r	1	0	0	0	2	0	1	0	2	0
L1FLnI_1q32.1b	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q32.1c	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q32.1d	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q32.1f	0	0	1	0	0	0	0	0	0	0
L1FLnI_1q32.1g	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q32.1h	0	0	0	0	0	0	0	0	0	1
L1FLnI_1q32.1i	0	0	0	0	1	0	0	0	0	0
L1FLnI_1q32.1k	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q32.1l	0	0	1	0	0	0	0	0	0	0
L1FLnI_1q32.1m	7	18	0	1	22	18	33	21	15	41
L1FLnI_1q32.2a	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q32.2c	0	0	1	0	0	0	0	0	0	0
L1FLnI_1q32.2d	0	0	1	0	0	0	0	0	0	1
L1FLnI_1q32.2e	0	0	0	0	0	0	0	0	0	1
L1FLnI_1q32.2f	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q32.2g	11	25	18	8	43	51	36	44	67	92
L1FLnI_1q32.2h	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q32.2j	0	0	1	0	0	0	0	0	0	0
L1FLnI_1q32.2k	0	0	1	0	1	0	0	0	0	0
L1FLnI_1q32.2l	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q32.2m	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q32.2n	0	0	1	0	0	0	0	0	0	0
L1FLnI_1q32.2p	0	0	1	0	0	0	0	0	0	0
L1FLnI_1q32.2q	0	0	1	0	0	1	0	0	0	0
L1FLnI_1q32.2s	0	0	0	0	1	0	0	0	1	1
L1FLnI_1q32.2t	0	0	0	0	0	1	0	0	0	1
L1FLnI_1q32.2u	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q32.3a	1	0	0	0	2	0	0	0	1	1
L1FLnI_1q32.3c	0	0	0	0	1	2	0	0	1	1
L1FLnI_1q32.3d	0	1	0	1	6	7	4	3	4	2
L1FLnI_1q32.3e	6	5	14	2	32	26	16	25	20	53
L1FLnI_1q32.3f	0	0	1	0	0	0	1	0	0	0
L1FLnI_1q32.3g	0	0	0	0	0	0	0	1	0	1
L1FLnI_1q32.3h	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q32.3i	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q32.3j	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q41a	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q41aa	0	0	0	0	1	1	3	2	4	6
L1FLnI_1q41ba	0	0	0	0	1	0	1	0	0	0
L1FLnI_1q41ca	0	0	0	0	0	0	0	1	1	0
L1FLnI_1q41d	0	0	1	0	0	0	0	0	0	0
L1FLnI_1q41da	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q41ea	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q41f	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q41fa	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q41g	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q41h	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q41ha	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q41i	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q41ia	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q41ja	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q41k	0	0	1	0	0	1	0	0	0	0
L1FLnI_1q41ka	0	0	0	0	1	0	0	0	0	0
L1FLnI_1q41l	0	0	0	0	0	0	0	0	0	3
L1FLnI_1q41la	1	2	0	0	1	0	2	0	0	0
L1FLnI_1q41m	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q41ma	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q41n	0	0	1	0	0	0	0	0	0	0
L1FLnI_1q41oa	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q41q	2	2	2	1	3	3	3	15	21	13
L1FLnI_1q41qa	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q41r	0	0	1	0	0	0	0	0	0	0
L1FLnI_1q41ra	1	0	0	0	1	0	0	0	0	2
L1FLnI_1q41s	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q41sa	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q41u	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q41v	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q41w	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q41x	0	0	0	0	0	0	0	0	0	2
L1FLnI_1q41z	0	0	0	0	0	0	0	0	0	2
L1FLnI_1q42.12a	0	0	1	3	2	1	4	5	10	9
L1FLnI_1q42.12b	0	0	0	1	0	1	1	0	5	3
L1FLnI_1q42.12c	0	0	0	0	2	0	0	1	1	2
L1FLnI_1q42.12d	0	0	0	0	0	0	0	1	1	0
L1FLnI_1q42.12e	0	0	4	1	1	0	0	0	0	3
L1FLnI_1q42.12f	0	0	0	0	0	0	0	0	0	2
L1FLnI_1q42.12g	0	0	1	1	1	1	1	1	4	5
L1FLnI_1q42.12h	0	0	0	0	0	0	0	0	1	0
L1FLnI_1q42.12i	0	1	0	0	3	8	2	2	4	2
L1FLnI_1q42.12j	0	0	3	0	0	0	0	1	2	6
L1FLnI_1q42.12l	0	1	0	0	0	1	0	2	0	5
L1FLnI_1q42.12m	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q42.12n	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q42.13a	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q42.13b	0	5	5	0	2	3	7	11	6	15
L1FLnI_1q42.13c	1	0	0	0	0	2	0	0	1	3
L1FLnI_1q42.13d	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q42.13e	0	0	0	0	0	0	0	0	0	3
L1FLnI_1q42.13f	0	0	1	0	0	0	0	0	0	0
L1FLnI_1q42.13g	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q42.13i	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q42.2a	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q42.2b	3	13	11	2	30	14	28	17	24	13
L1FLnI_1q42.2c	24	73	273	40	221	245	193	232	228	496
L1FLnI_1q42.2d	0	0	0	0	0	0	0	0	2	0
L1FLnI_1q42.2e	0	0	0	0	1	0	0	0	0	0
L1FLnI_1q42.2g	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q42.2h	0	0	0	0	0	0	0	0	1	0
L1FLnI_1q42.2i	0	1	1	0	2	0	1	7	4	3
L1FLnI_1q42.2k	0	0	0	0	1	0	0	1	6	0
L1FLnI_1q42.3a	0	2	0	0	1	1	1	1	1	1
L1FLnI_1q42.3b	0	0	0	1	0	2	0	0	0	0
L1FLnI_1q42.3d	0	0	1	0	0	1	1	0	8	3
L1FLnI_1q43a	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q43b	0	0	0	0	0	0	0	0	0	1
L1FLnI_1q43c	0	0	1	0	0	0	0	0	0	0
L1FLnI_1q43d	0	0	0	0	0	0	0	0	2	0
L1FLnI_1q43h	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q43i	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q43k	2	1	4	2	2	3	2	2	5	12
L1FLnI_1q43m	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q43n	2	6	3	0	7	1	5	2	5	4
L1FLnI_1q43o	0	3	2	0	4	7	11	8	10	6
L1FLnI_1q43p	0	0	0	0	0	0	0	0	1	0
L1FLnI_1q43q	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q43r	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q44a	0	0	3	1	0	2	0	1	7	10
L1FLnI_1q44b	0	0	0	1	2	0	0	1	6	3
L1FLnI_1q44c	0	1	0	0	4	4	1	2	9	7
L1FLnI_1q44d	0	0	1	0	1	0	0	0	0	2
L1FLnI_1q44e	0	1	0	0	2	1	0	2	3	9
L1FLnI_1q44f	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q44h	0	0	0	0	0	2	0	1	2	6
L1FLnI_1q44i	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q44j	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q44l	0	0	0	0	0	0	0	0	1	0
L1FLnI_1q44m	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q44n	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q44o	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q44q	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q44t	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q44v	0	0	0	0	0	0	1	0	0	0
L1FLnI_1q44x	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q44y	0	0	0	0	0	0	0	0	0	0
L1FLnI_1q44z	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p11.1a	0	0	0	3	1	0	0	5	4	1
L1FLnI_20p11.1b	0	0	0	0	1	0	1	0	2	1
L1FLnI_20p11.1c	1	0	0	0	3	0	1	0	1	10
L1FLnI_20p11.1d	0	0	0	0	0	0	0	0	0	1
L1FLnI_20p11.21a	1	0	0	0	0	2	0	0	0	0
L1FLnI_20p11.21b	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p11.21c	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p11.21d	1	1	4	2	12	7	11	13	14	13
L1FLnI_20p11.21e	0	0	1	0	0	0	0	0	0	0
L1FLnI_20p11.21f	0	2	0	0	3	1	3	1	2	1
L1FLnI_20p11.21h	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p11.21i	0	0	5	0	5	0	0	2	1	2
L1FLnI_20p11.21j	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p11.21k	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p11.21m	0	1	1	0	0	0	0	0	0	0
L1FLnI_20p11.21o	0	0	0	0	0	2	0	0	1	1
L1FLnI_20p11.21p	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p11.21q	1	0	0	0	2	0	2	1	0	0
L1FLnI_20p11.21r	0	0	1	0	0	0	0	0	0	0
L1FLnI_20p11.21s	0	0	0	0	0	1	0	0	0	0
L1FLnI_20p11.21t	0	10	2	3	2	5	4	11	9	10
L1FLnI_20p11.21u	1	6	0	4	27	15	21	20	25	29
L1FLnI_20p11.21v	0	0	1	0	0	4	0	0	1	0
L1FLnI_20p11.22a	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p11.22b	0	0	1	0	0	0	0	0	0	0
L1FLnI_20p11.22c	0	0	1	0	0	0	0	0	0	0
L1FLnI_20p11.22f	0	0	0	0	0	0	0	0	1	0
L1FLnI_20p11.22g	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p11.22i	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p11.22j	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p11.22k	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p11.22l	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p11.22m	0	0	1	0	0	0	0	0	0	0
L1FLnI_20p11.23b	0	2	4	2	4	1	1	0	1	2
L1FLnI_20p11.23c	0	0	0	0	1	0	0	0	2	0
L1FLnI_20p11.23d	101	161	176	61	560	578	473	850	819	1653
L1FLnI_20p11.23e	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p11.23f	0	0	0	0	0	0	0	0	0	1
L1FLnI_20p11.23g	0	0	0	0	0	1	3	0	0	0
L1FLnI_20p11.23h	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p11.23i	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p11.23j	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p11.23k	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p12.1a	0	0	0	0	0	0	0	0	0	1
L1FLnI_20p12.1b	0	0	2	0	0	0	0	0	0	0
L1FLnI_20p12.1c	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p12.1d	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p12.1e	0	0	0	1	0	0	0	0	0	0
L1FLnI_20p12.1f	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p12.1g	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p12.1h	0	0	0	1	1	2	2	0	2	0
L1FLnI_20p12.1i	0	1	3	0	3	5	2	3	7	2
L1FLnI_20p12.1l	0	0	0	0	1	0	1	0	0	3
L1FLnI_20p12.1m	0	0	2	0	0	1	1	1	1	0
L1FLnI_20p12.1n	0	0	0	0	0	0	0	2	1	1
L1FLnI_20p12.1o	1	1	0	0	0	0	1	0	1	0
L1FLnI_20p12.1p	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p12.1r	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p12.1t	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p12.1u	0	0	0	0	0	0	0	0	1	0
L1FLnI_20p12.1v	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p12.1w	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p12.2b	6	22	27	3	15	22	16	16	21	31
L1FLnI_20p12.2c	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p12.2d	1	0	0	0	0	0	1	0	0	1
L1FLnI_20p12.2e	0	0	0	0	0	0	0	0	0	1
L1FLnI_20p12.3b	0	0	0	0	0	0	1	2	0	0
L1FLnI_20p12.3d	0	1	2	0	0	1	0	0	0	0
L1FLnI_20p12.3e	0	0	0	0	0	0	0	0	0	0
L1FLnI_20p12.3f	0	0	0	0	0	0	0	0	0	0
