mock1_13	mock2_14	wt1_15	wt2_16	CoV_A549_mock3	CoV_A549_mock2	CoV_A549_mock1	CoV_A549_SARSCoV2_3	CoV_A549_SARSCoV2_2	CoV_A549_SARSCoV2_1
ERV316A3_6q25.1b	0	0	0	0	0	0	0	0	0	0
ERV316A3_6q25.1c	0	0	2	0	0	0	1	0	0	1
ERV316A3_6q25.1d	1	1	0	0	3	7	0	3	2	6
ERV316A3_6q25.1e	0	0	0	0	0	0	0	0	0	0
ERV316A3_7p13a	1	1	0	0	2	1	0	1	3	1
ERV316A3_7p14.1a	0	0	0	0	0	0	0	0	0	0
ERV316A3_7q36.1a	0	0	0	0	0	0	0	0	0	0
ERV316A3_7q36.2c	0	0	1	0	0	0	0	0	0	0
ERV316A3_8q13.1b	0	0	2	0	0	0	0	1	3	0
ERV316A3_8q13.3a	0	1	0	0	0	0	0	0	0	0
ERV316A3_8q21.11e	0	0	0	0	0	0	0	0	0	0
ERV316A3_8q24.12b	0	0	0	0	0	0	0	0	0	0
ERV316A3_8q24.3k	0	0	0	0	2	6	5	12	4	7
ERV316A3_Xp11.3c	0	0	0	0	0	2	0	0	0	0
ERV316A3_Xq23b	0	0	0	0	0	0	0	0	0	0
ERV316A3_Xq26.1	4	4	3	5	13	8	11	11	15	23
ERV316A3_Xq26.3a	0	0	0	0	0	0	0	2	2	0
ERV316A3_Xq28b	0	1	0	0	9	6	4	8	6	16
ERVL_12q22a	0	0	0	0	0	0	0	0	0	0
ERVL_12q22b	0	0	0	0	0	0	0	0	0	0
ERVL_14q22.1	0	0	0	0	1	0	0	0	0	0
ERVL_1p34.2	0	0	1	0	0	0	1	0	1	0
ERVL_1p36.22a	0	1	0	1	4	9	2	2	9	2
ERVL_1q44a	0	2	0	0	1	1	0	0	1	3
ERVL_1q44b	0	1	3	0	2	5	0	0	6	3
ERVL_1q44c	0	0	0	0	0	0	0	0	0	0
ERVL_2q14.1	0	0	0	2	0	0	0	0	0	2
ERVL_2q24.1a	0	0	0	0	0	0	0	0	0	0
ERVL_5q11.2	6	13	17	4	32	25	33	12	46	31
ERVL_7p12.1a	0	0	0	0	0	0	0	0	2	2
ERVL_Xp11.22a	9	13	3	4	18	29	26	15	57	41
ERVLB4_1_KI270712v1_random	0	0	0	0	0	0	0	0	0	0
ERVLB4_10q21.3a	0	0	0	0	0	0	0	0	0	0
ERVLB4_11p15.5e	0	0	0	0	0	0	0	0	1	1
ERVLB4_11q21b	0	0	0	0	0	0	0	0	0	0
ERVLB4_11q24.3a	0	0	0	0	0	0	0	0	0	0
ERVLB4_12p12.3d	0	0	0	0	0	0	0	0	0	0
ERVLB4_12p13.2a	0	0	0	0	1	0	0	0	0	0
ERVLB4_12q13.12a	0	1	3	0	0	2	2	0	0	1
ERVLB4_12q13.13	0	0	0	0	0	0	0	0	1	0
ERVLB4_12q21.32a	0	0	0	0	0	0	0	0	0	0
ERVLB4_12q24.11a	0	0	0	0	0	0	0	0	0	0
ERVLB4_13q12.12a	0	0	1	0	0	0	0	0	0	0
ERVLB4_13q12.12b	0	0	0	0	0	0	0	0	0	0
ERVLB4_15q11.1a	0	0	0	0	0	0	1	0	0	0
ERVLB4_15q11.1c	0	0	1	0	0	0	0	0	0	0
ERVLB4_15q11.2a	0	0	0	0	0	0	0	0	0	0
ERVLB4_15q21.2	0	1	0	2	2	4	3	4	6	3
ERVLB4_16_KI270728v1_random(b)	0	0	0	0	0	0	0	0	0	0
ERVLB4_16p13.3a	0	4	1	2	11	9	11	2	9	3
ERVLB4_16q13a	0	0	0	0	0	0	0	0	3	0
ERVLB4_16q13b	0	0	0	4	0	1	0	0	0	1
