sample,condition,batch
Calu3_mock3,MOCK,0
Calu3_mock2,MOCK,0
Calu3_mock1,MOCK,0
Calu3_SARSCoV2_3,SARS_Cov2,0
Calu3_SARSCoV2_2,SARS_Cov2,0
Calu3_SARSCoV2_1,SARS_Cov2,0
SRR1942929,MOCK,1
SRR1942934,MOCK,1
SRR1942956,SARS,1
SRR1942957,SARS,1
SRR1942960,MOCK,1
SRR1942961,MOCK,1
SRR1942989,MERS,1
SRR1942990,MERS,1
