"Calu3_mock3" "Calu3_mock2" "Calu3_mock1" "Calu3_SARSCoV2_3" "Calu3_SARSCoV2_2" "Calu3_SARSCoV2_1" "SRR1942929" "SRR1942934" "SRR1942956" "SRR1942957" "SRR1942960" "SRR1942961" "SRR1942989" "SRR1942990"
"ERV316A3_10q25.1c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q25.1d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q25.1e" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q25.1f" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q25.1g" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q25.1h" 0 0 0 0 5 0 0 0 0 0 0 0 0 0
"ERV316A3_10q25.1i" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q25.1j" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q25.1k" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q25.2a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q25.3a" 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"ERV316A3_10q25.3b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q25.3c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q25.3d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q26.12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q26.13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q26.3a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q26.3b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p11.2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p12a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p12b" 0 0 0 2 0 1 0 0 0 0 0 0 0 0
"ERV316A3_11p12c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p12d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p12e" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p12f" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p12g" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p13a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p13b" 1 0 0 0 0 0 2 1 0 0 0 0 0 2
"ERV316A3_11p13c" 0 0 0 0 0 0 0 2 1 5 4 6 1 2
"ERV316A3_11p13d" 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"ERV316A3_11p14.1a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p14.1b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p14.1c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p14.2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p14.3a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p14.3b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p14.3c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p14.3d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p14.3e" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p14.3g" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p15.1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p15.2a" 0 0 0 0 0 0 0 2 0 1 0 0 2 0
"ERV316A3_11p15.2b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p15.3" 0 0 0 0 0 0 0 1 0 0 0 1 1 1
"ERV316A3_11p15.4a" 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"ERV316A3_11p15.4b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p15.4c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p15.4d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p15.4e" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p15.4f" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p15.4g" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p15.4h" 0 0 0 0 0 0 0 0 1 1 0 0 0 0
"ERV316A3_11p15.4i" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p15.4j" 0 0 0 0 0 0 0 0 0 1 1 0 1 0
"ERV316A3_11p15.4k" 0 0 1 0 0 0 0 1 2 0 2 2 3 3
"ERV316A3_11p15.5a" 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11p15.5b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q11" 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"ERV316A3_11q12.1a" 1 2 0 0 0 0 5 4 1 2 1 5 1 3
"ERV316A3_11q12.1b" 0 0 0 1 0 0 1 0 0 0 0 0 0 0
"ERV316A3_11q12.3" 0 0 0 0 0 0 2 3 2 2 4 2 2 1
"ERV316A3_11q13.1a" 0 0 0 1 0 1 0 0 0 0 2 0 0 0
"ERV316A3_11q13.1b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q13.2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q13.3" 0 0 5 3 1 1 3 7 2 4 5 5 0 3
"ERV316A3_11q13.4a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q13.4b" 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"ERV316A3_11q14.1a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q14.1b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q14.3a" 0 0 0 0 0 0 2 1 0 0 1 1 0 0
"ERV316A3_11q14.3c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q14.3d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q14.3e" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q21a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q21b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q21c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q21d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q21e" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_11q22.1a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
